category,pro_name,pro_price,pro_review,pro_url
trang-diem-mat,Bảng Màu Mắt Odbo Galaxy Có Nhũ Tông Cam Gạch OD201 - Bảng Phấn Mắt Odbo Galaxy Có Nhũ Tông Cam Đất - Bảng Mắt Odbo Tông Cam Gạch - Phấn Mắt Tông Cam Gạch - Bảng Màu Mắt Odbo Tông Tây Cam Đất - Bảng Phấn Mắt Odbo Tông Tây Cam Gạch - Màu Mắt Thái Cam Gạch,144000.00,0,https://www.lazada.vn/products/bang-mau-mat-odbo-galaxy-co-nhu-tong-cam-gach-od201-bang-phan-mat-odbo-galaxy-co-nhu-tong-cam-dat-bang-mat-odbo-tong-cam-gach-phan-mat-tong-cam-gach-bang-mau-mat-odbo-tong-tay-cam-dat-bang-phan-mat-odbo-tong-tay-cam-gach-mau-mat-thai-cam-gach-i280072387-s437372977.html?search=1
trang-diem-mat,Phấn mắt 2 line Northshow 5 ô kèm cọ,85000.00,0,https://www.lazada.vn/products/phan-mat-2-line-northshow-5-o-kem-co-i258571216-s358741735.html?search=1
trang-diem-mat,Bảng Phấn Mắt Play Color Geo 10 Bản New,24000.00,261,https://www.lazada.vn/products/bang-phan-mat-play-color-geo-10-ban-new-i255386985-s348233991.html?search=1
trang-diem-mat,SÁP MẮT NHŨ DẠNG THỎI NOVO,35000.00,247,https://www.lazada.vn/products/sap-mat-nhu-dang-thoi-novo-i214317360-s268479698.html?search=1
trang-diem-mat,Mascara Hai Đầu Chuốt Dài Mi Gấp 5 Lần Sivanna Super Model 5X Long,130000.00,0,https://www.lazada.vn/products/mascara-hai-dau-chuot-dai-mi-gap-5-lan-sivanna-super-model-5x-long-i275580056-s423552304.html?search=1
trang-diem-mat,Bút kẻ mắt nước kèm tattoo ngôi sao Balala,55000.00,0,https://www.lazada.vn/products/but-ke-mat-nuoc-kem-tattoo-ngoi-sao-balala-i206122215-s256507447.html?search=1
trang-diem-mat,Kẻ lông mày Mamonde Natural Auto Pencil Eyebrow,150000.00,0,https://www.lazada.vn/products/ke-long-may-mamonde-natural-auto-pencil-eyebrow-i279942983-s437118056.html?search=1
trang-diem-mat,BẢNG PHẤN MẮT TONE NUDE NÂU ODBO LOVE SWEET OD262 BROWN,185000.00,0,https://www.lazada.vn/products/bang-phan-mat-tone-nude-nau-odbo-love-sweet-od262-brown-i259820013-s363202654.html?search=1
trang-diem-mat,THANH LĂN MẮT NHA ĐAM TRỊ THÂM QUẦNG MẮT,20000.00,33,https://www.lazada.vn/products/thanh-lan-mat-nha-dam-tri-tham-quang-mat-i273080175-s415696045.html?search=1
trang-diem-mat,Bảng Phấn Mắt Play Color Geo 10 Bản New,24000.00,329,https://www.lazada.vn/products/bang-phan-mat-play-color-geo-10-ban-new-i255345960-s348246339.html?search=1
trang-diem-mat,Mascara dầu dừa dưỡng dài mi Coco Secret,25000.00,165,https://www.lazada.vn/products/mascara-dau-dua-duong-dai-mi-coco-secret-i165458701-s181151581.html?search=1
trang-diem-mat,Bảng phấn mắt Play Color Eyes của Lameila hàng nội địa Trung - 1126,21850,436,https://www.lazada.vn/products/bang-phan-mat-play-color-eyes-cua-lameila-hang-noi-dia-trung-1126-i223370219-s281411513.html?search=1
trang-diem-mat,Chì Kẻ Mày,140000.00,1,https://www.lazada.vn/products/chi-ke-may-i256056921-s349788754.html?search=1
trang-diem-mat,Chì Kẻ Mày Drawing Color Geometry Hàng Nội Địa Trung,14000,108,https://www.lazada.vn/products/chi-ke-may-drawing-color-geometry-hang-noi-dia-trung-i257686370-s356606560.html?search=1
trang-diem-mat,Dầu Dừa Dưỡng Mi Nguyên Chất 100%,29000.00,0,https://www.lazada.vn/products/dau-dua-duong-mi-nguyen-chat-100-i251389713-s333291721.html?search=1
trang-diem-mat,"[TẶNG KÈM ĐÈN LED DẺO] Hộp chì kẻ chân mày novo (Gồm bút chì, 3 khuôn kẻ, 3 ruột bút chì) NOVO",55000.00,0,https://www.lazada.vn/products/tang-kem-den-led-deo-hop-chi-ke-chan-may-novo-gom-but-chi-3-khuon-ke-3-ruot-but-chi-novo-i279704209-s436620797.html?search=1
trang-diem-mat,Bút Kẻ Lông Mày Gẩy Sợi 4D Fine Skech Miking Pretty,23000.00,69,https://www.lazada.vn/products/but-ke-long-may-gay-soi-4d-fine-skech-miking-pretty-i256286781-s351170230.html?search=1
trang-diem-mat,8 Khuôn kẻ chân mày + Dây buộc mẫu mới (tặng chì kẻ mày),48000.00,5,https://www.lazada.vn/products/8-khuon-ke-chan-may-day-buoc-mau-moi-tang-chi-ke-may-i257140913-s355347918.html?search=1
trang-diem-mat,Bảng phấn mắt Play Color Eyes Lameila PC23,21600,185,https://www.lazada.vn/products/bang-phan-mat-play-color-eyes-lameila-pc23-i246760360-s317892827.html?search=1
trang-diem-mat,Bảng Phấn Mắt NUDE HUDAMOJI,97000.00,1,https://www.lazada.vn/products/bang-phan-mat-nude-hudamoji-i266364039-s386144390.html?search=1
trang-diem-mat,Bột in chân mày 2 khuôn + phấn mày (#03 – Nâu sáng),85000.00,0,https://www.lazada.vn/products/bot-in-chan-may-2-khuon-phan-may-03-nau-sang-i278974976-s434760656.html?search=1
trang-diem-mat,Chì vặn kẻ chân mày ngang chống nước Keep color,13200.00,52,https://www.lazada.vn/products/chi-van-ke-chan-may-ngang-chong-nuoc-keep-color-i248758035-s326307416.html?search=1
trang-diem-mat,Mascara Obuse Double Wear Thái Lan,180000.00,0,https://www.lazada.vn/products/mascara-obuse-double-wear-thai-lan-i261282780-s367822738.html?search=1
trang-diem-mat,BỘ 3 MASCARA MAY BELINE 3 TRONG 1,79000.00,11,https://www.lazada.vn/products/bo-3-mascara-may-beline-3-trong-1-i252203881-s335596402.html?search=1
trang-diem-mat,Chì kẻ mày 2in1 NoVo Makeup Seduce (KẺ MÀY + KẺ MẮT),60000.00,107,https://www.lazada.vn/products/chi-ke-may-2in1-novo-makeup-seduce-ke-may-ke-mat-i230196387-s292152594.html?search=1
trang-diem-mat,Phấn mắt 2 line Northshow 5 ô kèm cọ,85000.00,0,https://www.lazada.vn/products/phan-mat-2-line-northshow-5-o-kem-co-i258571216-s358741735.html?search=1
trang-diem-mat,Bảng Phấn Mắt Play Color Geo 10 Bản New,24000.00,261,https://www.lazada.vn/products/bang-phan-mat-play-color-geo-10-ban-new-i255386985-s348233991.html?search=1
trang-diem-mat,SÁP MẮT NHŨ DẠNG THỎI NOVO,35000.00,247,https://www.lazada.vn/products/sap-mat-nhu-dang-thoi-novo-i214317360-s268479698.html?search=1
trang-diem-mat,Mascara Hai Đầu Chuốt Dài Mi Gấp 5 Lần Sivanna Super Model 5X Long,130000.00,0,https://www.lazada.vn/products/mascara-hai-dau-chuot-dai-mi-gap-5-lan-sivanna-super-model-5x-long-i275580056-s423552304.html?search=1
trang-diem-mat,Bút kẻ mắt nước kèm tattoo ngôi sao Balala,55000.00,0,https://www.lazada.vn/products/but-ke-mat-nuoc-kem-tattoo-ngoi-sao-balala-i206122215-s256507447.html?search=1
trang-diem-mat,Kẻ lông mày Mamonde Natural Auto Pencil Eyebrow,150000.00,0,https://www.lazada.vn/products/ke-long-may-mamonde-natural-auto-pencil-eyebrow-i279942983-s437118056.html?search=1
trang-diem-mat,Bộ Khuôn Kẻ Con Dấu In Lông Mày SHEZI,35000,62,https://www.lazada.vn/products/bo-khuon-ke-con-dau-in-long-may-shezi-i170574657-s186530793.html?search=1
trang-diem-mat,Bút kẻ mắt nước Lameila không thấm nước - hàng nội địa Trung,15000.00,156,https://www.lazada.vn/products/but-ke-mat-nuoc-lameila-khong-tham-nuoc-hang-noi-dia-trung-i253890942-s342406883.html?search=1
trang-diem-mat,"Bút dạ kẻ mắt không lem, không trôi Lameila",19000.00,155,https://www.lazada.vn/products/but-da-ke-mat-khong-lem-khong-troi-lameila-i257195271-s354612588.html?search=1
trang-diem-mat,Bảng Phấn mắt Lameila 35 màu nội địa Trung,65000.00,3,https://www.lazada.vn/products/bang-phan-mat-lameila-35-mau-noi-dia-trung-i271570634-s408020315.html?search=1
trang-diem-mat,"Kim tuyến makeup, làm nail",39000.00,3,https://www.lazada.vn/products/kim-tuyen-makeup-lam-nail-i266512456-s386698209.html?search=1
trang-diem-mat,(GIÁ RẺ) Bảng Màu Mắt Phấn Mắt 10 Màu EyeShadow Matte Ánh Nhũ  Lameila Color play L0109,23000.00,53,https://www.lazada.vn/products/gia-re-bang-mau-mat-phan-mat-10-mau-eyeshadow-matte-anh-nhu-lameila-color-play-l0109-i266434295-s386468646.html?search=1
trang-diem-mat,Bảng Màu Mắt Odbo Galaxy Có Nhũ Tông Cam Gạch OD201 - Bảng Phấn Mắt Odbo Galaxy Có Nhũ Tông Cam Đất - Bảng Mắt Odbo Tông Cam Gạch - Phấn Mắt Tông Cam Gạch - Bảng Màu Mắt Odbo Tông Tây Cam Đất - Bảng Phấn Mắt Odbo Tông Tây Cam Gạch - Màu Mắt Thái Cam Gạch,144000.00,0,https://www.lazada.vn/products/bang-mau-mat-odbo-galaxy-co-nhu-tong-cam-gach-od201-bang-phan-mat-odbo-galaxy-co-nhu-tong-cam-dat-bang-mat-odbo-tong-cam-gach-phan-mat-tong-cam-gach-bang-mau-mat-odbo-tong-tay-cam-dat-bang-phan-mat-odbo-tong-tay-cam-gach-mau-mat-thai-cam-gach-i280072387-s437372977.html?search=1
trang-diem-mat,Dầu Dừa Dưỡng Mi Nguyên Chất 100%,29000.00,0,https://www.lazada.vn/products/dau-dua-duong-mi-nguyen-chat-100-i251389713-s333291721.html?search=1
trang-diem-mat,"[TẶNG KÈM ĐÈN LED DẺO] Hộp chì kẻ chân mày novo (Gồm bút chì, 3 khuôn kẻ, 3 ruột bút chì) NOVO",55000.00,0,https://www.lazada.vn/products/tang-kem-den-led-deo-hop-chi-ke-chan-may-novo-gom-but-chi-3-khuon-ke-3-ruot-but-chi-novo-i279704209-s436620797.html?search=1
trang-diem-mat,Bút Kẻ Lông Mày Gẩy Sợi 4D Fine Skech Miking Pretty,23000.00,69,https://www.lazada.vn/products/but-ke-long-may-gay-soi-4d-fine-skech-miking-pretty-i256286781-s351170230.html?search=1
trang-diem-mat,BẢNG PHẤN MẮT TONE NUDE NÂU ODBO LOVE SWEET OD262 BROWN,185000.00,0,https://www.lazada.vn/products/bang-phan-mat-tone-nude-nau-odbo-love-sweet-od262-brown-i259820013-s363202654.html?search=1
trang-diem-mat,Bột in chân mày 2 khuôn + phấn mày (#03 – Nâu sáng),85000.00,0,https://www.lazada.vn/products/bot-in-chan-may-2-khuon-phan-may-03-nau-sang-i278974976-s434760656.html?search=1
trang-diem-mat,Chì vặn kẻ chân mày ngang chống nước Keep color,13200.00,52,https://www.lazada.vn/products/chi-van-ke-chan-may-ngang-chong-nuoc-keep-color-i248758035-s326307416.html?search=1
trang-diem-mat,Mascara Obuse Double Wear Thái Lan,180000.00,0,https://www.lazada.vn/products/mascara-obuse-double-wear-thai-lan-i261282780-s367822738.html?search=1
trang-diem-mat,BỘ 3 MASCARA MAY BELINE 3 TRONG 1,79000.00,11,https://www.lazada.vn/products/bo-3-mascara-may-beline-3-trong-1-i252203881-s335596402.html?search=1
trang-diem-mat,Bảng Phấn Mắt Play Color Geo 10 Bản New,24000.00,329,https://www.lazada.vn/products/bang-phan-mat-play-color-geo-10-ban-new-i255345960-s348246339.html?search=1
trang-diem-mat,Chì Kẻ Mày Drawing Color Geometry Hàng Nội Địa Trung,14000,108,https://www.lazada.vn/products/chi-ke-may-drawing-color-geometry-hang-noi-dia-trung-i257686370-s356606560.html?search=1
trang-diem-mat,Bảng Phấn Mắt Play Color Geo 10 Bản New,24000.00,261,https://www.lazada.vn/products/bang-phan-mat-play-color-geo-10-ban-new-i255386985-s348233991.html?search=1
trang-diem-mat,SÁP MẮT NHŨ DẠNG THỎI NOVO,35000.00,247,https://www.lazada.vn/products/sap-mat-nhu-dang-thoi-novo-i214317360-s268479698.html?search=1
trang-diem-mat,Bảng Phấn Mắt 12 Màu Color Geo Lameila Eye Shadow L0102,38000.00,17,https://www.lazada.vn/products/bang-phan-mat-12-mau-color-geo-lameila-eye-shadow-l0102-i266250748-s388914647.html?search=1
trang-diem-mat,Bút chì xé kẻ mày CX6,9000,109,https://www.lazada.vn/products/but-chi-xe-ke-may-cx6-i209488951-s261172265.html?search=1
trang-diem-mat,Combo bộ kẻ chân mày + bộ chì kẻ lông mày + dao cạo long mày + tấm dán khuôn kẻ lông mày  - Dozimax - CBLM01 - bộ khuôn kẻ chân mày - chì kẻ mày - giúp cách vẽ chân mày nhanh chóng - tạo lông mày đẹp.,59000.00,57,https://www.lazada.vn/products/combo-bo-ke-chan-may-bo-chi-ke-long-may-dao-cao-long-may-tam-dan-khuon-ke-long-may-dozimax-cblm01-bo-khuon-ke-chan-may-chi-ke-may-giup-cach-ve-chan-may-nhanh-chong-tao-long-may-dep-i265344594-s381754091.html?search=1
