category,page,page_url,pro_name,pro_price,pro_review,pro_url
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,Bảng phấn mắt Play Color Eyes của Lameila hàng nội địa Trung - 1126,21850,436,https://www.lazada.vn/products/bang-phan-mat-play-color-eyes-cua-lameila-hang-noi-dia-trung-1126-i223370219-s281411513.html?search=1
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,Chì Kẻ Mày Drawing Color Geometry Hàng Nội Địa Trung,15000.00,108,https://www.lazada.vn/products/chi-ke-may-drawing-color-geometry-hang-noi-dia-trung-i257686370-s356606560.html?search=1
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,BỘ 3 MASCARA MAY BELINE 3 TRONG 1,79000.00,11,https://www.lazada.vn/products/bo-3-mascara-may-beline-3-trong-1-i252203881-s335596402.html?search=1
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8,Chì kẻ mày 2in1 NoVo Makeup Seduce (KẺ MÀY + KẺ MẮT),47000,107,https://www.lazada.vn/products/chi-ke-may-2in1-novo-makeup-seduce-ke-may-ke-mat-i230196387-s292152594.html?search=1
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8,Bảng Phấn Mắt Play Color Geo 10 Bản New,19999.00,8,https://www.lazada.vn/products/bang-phan-mat-play-color-geo-10-ban-new-i273322895-s416712903.html?search=1
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8,Serum Dưỡng Mi FEG – Cho Mắt Thêm Quyến Rũ,199000,25,https://www.lazada.vn/products/serum-duong-mi-feg-cho-mat-them-quyen-ru-i251344140-s333048145.html?search=1
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8,Bộ phấn mắt khay 10 màu Maycreate,22325,204,https://www.lazada.vn/products/bo-phan-mat-khay-10-mau-maycreate-i221010665-s277848951.html?search=1
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8,Bút Xăm Hình Đa Năng 3trong1,39000.00,54,https://www.lazada.vn/products/but-xam-hinh-da-nang-3trong1-i218562012-s274274508.html?search=1
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8,"Chì kẻ mày, bút kẻ lông mày EYBROW PENCIL không thấm nước đa năng đủ màu (đủ màu để lựa chọn) - Miễn phí vận chuyển",17000.00,173,https://www.lazada.vn/products/chi-ke-may-but-ke-long-may-eybrow-pencil-khong-tham-nuoc-da-nang-du-mau-du-mau-de-lua-chon-mien-phi-van-chuyen-i151203150-s159186473.html?search=1
trang-diem-mat,6,https://www.lazada.vn/trang-diem-mat/?page=6,Mascara Obuse Double Wear Thái Lan,180000.00,0,https://www.lazada.vn/products/mascara-obuse-double-wear-thai-lan-i261282780-s367822738.html?search=1
trang-diem-mat,6,https://www.lazada.vn/trang-diem-mat/?page=6,SÁP MẮT NHŨ DẠNG THỎI NOVO,35000.00,247,https://www.lazada.vn/products/sap-mat-nhu-dang-thoi-novo-i214317360-s268479698.html?search=1
trang-diem-mat,6,https://www.lazada.vn/trang-diem-mat/?page=6,Bảng phấn mắt Play Color Eyes Lameila PC23,21600,185,https://www.lazada.vn/products/bang-phan-mat-play-color-eyes-lameila-pc23-i246760360-s317892827.html?search=1
trang-diem-mat,6,https://www.lazada.vn/trang-diem-mat/?page=6,Bảng Phấn Mắt Play Color Geo 10 Bản New,24000.00,261,https://www.lazada.vn/products/bang-phan-mat-play-color-geo-10-ban-new-i255386985-s348233991.html?search=1
trang-diem-mat,6,https://www.lazada.vn/trang-diem-mat/?page=6,Phấn mắt 35 Ô LAMEILA,83000.00,0,https://www.lazada.vn/products/phan-mat-35-o-lameila-i276344067-s425842772.html?search=1
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,(GIÁ RẺ) Bảng Màu Mắt Phấn Mắt 10 Màu EyeShadow Matte Ánh Nhũ  Lameila Color play L0109,23000.00,53,https://www.lazada.vn/products/gia-re-bang-mau-mat-phan-mat-10-mau-eyeshadow-matte-anh-nhu-lameila-color-play-l0109-i266434295-s386468646.html?search=1
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,Mascara Hai Đầu Chuốt Dài Mi Gấp 5 Lần Sivanna Super Model 5X Long,130000.00,0,https://www.lazada.vn/products/mascara-hai-dau-chuot-dai-mi-gap-5-lan-sivanna-super-model-5x-long-i275580056-s423552304.html?search=1
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,Kẻ lông mày Mamonde Natural Auto Pencil Eyebrow,150000.00,0,https://www.lazada.vn/products/ke-long-may-mamonde-natural-auto-pencil-eyebrow-i279942983-s437118056.html?search=1
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,Bút kẻ mắt nước kèm tattoo ngôi sao Balala,55000.00,0,https://www.lazada.vn/products/but-ke-mat-nuoc-kem-tattoo-ngoi-sao-balala-i206122215-s256507447.html?search=1
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,Bột in chân mày 2 khuôn + phấn mày (#03 – Nâu sáng),85000.00,0,https://www.lazada.vn/products/bot-in-chan-may-2-khuon-phan-may-03-nau-sang-i278974976-s434760656.html?search=1
trang-diem-mat,1,https://www.lazada.vn/trang-diem-mat/?page=1,BẢNG PHẤN MẮT TONE NUDE NÂU ODBO LOVE SWEET OD262 BROWN,185000.00,0,https://www.lazada.vn/products/bang-phan-mat-tone-nude-nau-odbo-love-sweet-od262-brown-i259820013-s363202654.html?search=1
trang-diem-mat,8,https://www.lazada.vn/trang-diem-mat/?page=8,"Phấn Mắt Kim Tuyến KIRA KIRA Lấp Lánh Trang Điểm Cho Đôi Mắt Long Lanh, Rạng Ngời L1657",39000.00,6,https://www.lazada.vn/products/phan-mat-kim-tuyen-kira-kira-lap-lanh-trang-diem-cho-doi-mat-long-lanh-rang-ngoi-l1657-i272478019-s423540605.html?search=1
