TIME,"BitcoinTalk 
Username","BitcoinTalk  
Profile",Twitter Link,Followers,ETH Wallet Address,Comments,Notes,Tokens Awarded,Reason
2018/04/18 05:08:55,bilbilon,https://bitcointalk.org/index.php?action=profile;u=1144269,https://twitter.com/cryptoinsanemc,6000,0x24bf5f007e4B06f5777C460Fb02D3521c1B521A8,,,,
2018/04/18 07:55:24,Dazeru,https://bitcointalk.org/index.php?action=profile;u=2003069,https://twitter.com/btc0Reth,773,0xdb4346d82AD8946E90A91Cf73C70c10F1f18bE47,,,,
2018/04/18 08:59:05,brantokrocel,https://bitcointalk.org/index.php?action=profile;u=1833945,https://twitter.com/airdropalive,774,0x69a169aE0573f058C9055b68455B5d4F99e536C1,,,,
2018/04/18 09:00:23,Samolet,https://bitcointalk.org/index.php?action=profile;u=1217796,https://twitter.com/LyudmAbr3,567,0x30C8D95fb80C874dc285284147d4B4a4fAeB05A9,,,,
2018/04/18 09:10:14,v831,https://bitcointalk.org/index.php?action=profile;u=1271453,https://twitter.com/vi_kov,3222,0x5F876B11BDF1407d7e093fb1C78acf9961B634f2,,,,
2018/04/18 09:19:10,bit77ok,https://bitcointalk.org/index.php?action=profile;u=1534916,https://twitter.com/Svetik5888,250,0xA5cd92E3Dd567730568f5519AE3A89091220bB2E,,,,
2018/04/18 09:19:48,v_i_p,https://bitcointalk.org/index.php?action=profile;u=1290176,https://twitter.com/vi77ip,3790,0x8ed4532Cb2BB4B832096910bBc1Db90175113004,,,,
2018/04/18 09:39:56,Irinatoken,https://bitcointalk.org/index.php?action=profile;u=1901423,https://twitter.com/Irinatoken,1252,0x0e4345dd827AaeCfB1b326900bb7E045bD680459,,,,
2018/04/18 09:58:54,nataliy25123,https://bitcointalk.org/index.php?action=profile;u=1797309,https://twitter.com/Vitallliy100,4300,0x90DF489eB5bb892070Fd792330E845b3daae3295,,,,
2018/04/18 10:04:46,Lunin2910,https://bitcointalk.org/index.php?action=profile;u=1238483,https://twitter.com/lunkin2910,10400,0x28288818a01077b7ac1B3B4a2f23304D36a8CD46,,,,
2018/04/18 10:17:01,Lunkins1909,https://bitcointalk.org/index.php?action=profile;u=1629266,https://twitter.com/lunkins1909,10200,0x2943c711a4Cd502CCf3C2E770Bd3d9979DEF05C5,,,,
