category,main class,item name,price range,price_min,price_max,monthly sales,item url,item picture
美妝保健,開架流行清潔保養,【梨大小姐】JM Solution 水光面膜 水光蜂蜜面膜 珍珠 面膜 蠶絲面膜 JMsolution,$30 ,30,30,2521,https://shopee.tw/【梨大小姐】JM-Solution-水光面膜-水光蜂蜜面膜-珍珠-面膜-蠶絲面膜-JMsolution-i.32084592.876841779,https://cf.shopee.tw/file/3eb9c9f09092957be3356e4cbe1c67a5
美妝保健,開架流行清潔保養,?現貨供應?現貨喜凱露面膜HIKARU美白/抗皺/保濕/緊緻效期2021後,$10 ,10,10,4351,https://shopee.tw/?現貨供應?現貨喜凱露面膜HIKARU美白-抗皺-保濕-緊緻效期2021後-i.20546857.1423491014,https://cf.shopee.tw/file/44d00e278ffd1596c9399e8860628f5c
美妝保健,開架流行清潔保養,(現貨不用等11月份日本帶回)D.s.com首選日本 Kose 高絲雪花限定雪肌粹洗面乳120G 限定款,$175 ,175,175,1874,https://shopee.tw/(現貨不用等11月份日本帶回)D.s.com首選日本-Kose-高絲雪花限定雪肌粹洗面乳120G-限定款-i.6339175.115043019,https://cf.shopee.tw/file/2c11ce3b403391e01b3e983a78d53895
美妝保健,開架流行清潔保養,【毛孔淨化面膜】?全館699免運?韓國SU:M 37呼吸泡泡黑泡泡面膜小樣 4.5ml 【明洞妞】,$12 ,12,12,2089,https://shopee.tw/【毛孔淨化面膜】?全館699免運?韓國SU-M-37呼吸泡泡黑泡泡面膜小樣-4.5ml-【明洞妞】-i.1944366.1170896008,https://cf.shopee.tw/file/8225f4eec6259647c11d684f9818399c
美妝保健,開架流行清潔保養,【現貨批發】玻尿酸 精華面膜 雙層去印滋潤保濕面膜 極潤蠶絲面膜 修容 肌膚 保濕 美膚 控油 嬰兒隱形面膜 精華亮膚,$7 - $9,7,9,3723,https://shopee.tw/【現貨批發】玻尿酸-精華面膜-雙層去印滋潤保濕面膜-極潤蠶絲面膜-修容-肌膚-保濕-美膚-控油-嬰兒隱形面膜-精華亮膚-i.63479477.1325008758,https://cf.shopee.tw/file/45008a6a241ff58a2b8d452e65957592
美妝保健,開架流行清潔保養,TT波特嫚 經典系列 淨無暇亮采煥白面膜/Q10彈力緊緻面膜/EGF賦活修護面膜/極潤水光保濕面膜,$21 ,21,21,3176,https://shopee.tw/TT波特嫚-經典系列-淨無暇亮采煥白面膜-Q10彈力緊緻面膜-EGF賦活修護面膜-極潤水光保濕面膜-i.43375247.1220186857,https://cf.shopee.tw/file/8b9ee599846d9263b3cb68238d19402a
美妝保健,開架流行清潔保養,未來美8分鐘超級面膜-單片/補水淨白修護舒緩,$25 - $29,25,29,2617,https://shopee.tw/未來美8分鐘超級面膜-單片-補水淨白修護舒緩-i.69050893.1517672662,https://cf.shopee.tw/file/db521629e9efaa4d2d102280654e7c9a
美妝保健,開架流行清潔保養,【搬運工】?最新款? 韓國 現貨JM solution 補水保濕 珍珠面膜 蜂蜜保濕面膜 jm面膜 韓國面膜,$30 ,30,30,1857,https://shopee.tw/【搬運工】?最新款?-韓國-現貨JM-solution-補水保濕-珍珠面膜-蜂蜜保濕面膜-jm面膜-韓國面膜-i.2598204.382658964,https://cf.shopee.tw/file/f2db7854473725f4030f3137ecfce5fc
美妝保健,開架流行清潔保養,絲花化妝棉(80+2片) 2入【康是美】,$69 ,69,69,1497,https://shopee.tw/絲花化妝棉(80-2片)-2入【康是美】-i.33206500.640344154,https://cf.shopee.tw/file/7e9ad7b67ddf6604df499b4f738d635e
美妝保健,開架流行清潔保養,正品滋潤面膜 護膚保養保濕滋潤面膜控油呵護提亮膚色補水保濕面膜滋養水潤嫩膚淨透面贴膜 祛黑眼圈淨白肌膚緊緻毛孔收縮毛孔,$8 ,8,8,2038,https://shopee.tw/正品滋潤面膜-護膚保養保濕滋潤面膜控油呵護提亮膚色補水保濕面膜滋養水潤嫩膚淨透面贴膜-祛黑眼圈淨白肌膚緊緻毛孔收縮毛孔-i.63479477.1088402443,https://cf.shopee.tw/file/2a966e2198e17ddd18c3a44d3a153083
