category,category url,main class,class url
代買代購,https://shopee.tw/代買代購-cat.76,韓國美妝代購,https://shopee.tw/韓國美妝代購-cat.76.2644
代買代購,https://shopee.tw/代買代購-cat.76,日本居家代購,https://shopee.tw/日本居家代購-cat.76.2801
代買代購,https://shopee.tw/代買代購-cat.76,韓國居家代購,https://shopee.tw/韓國居家代購-cat.76.2800
代買代購,https://shopee.tw/代買代購-cat.76,日本迪士尼代購,https://shopee.tw/日本迪士尼代購-cat.76.2639
代買代購,https://shopee.tw/代買代購-cat.76,韓國流行代購,https://shopee.tw/韓國流行代購-cat.76.2643
代買代購,https://shopee.tw/代買代購-cat.76,日本其他代購,https://shopee.tw/日本其他代購-cat.76.2691
代買代購,https://shopee.tw/代買代購-cat.76,韓國其他代購,https://shopee.tw/韓國其他代購-cat.76.2692
代買代購,https://shopee.tw/代買代購-cat.76,歐美流行代購,https://shopee.tw/歐美流行代購-cat.76.2693
代買代購,https://shopee.tw/代買代購-cat.76,泰國代購,https://shopee.tw/泰國代購-cat.76.2190
代買代購,https://shopee.tw/代買代購-cat.76,歐美精品代購,https://shopee.tw/歐美精品代購-cat.76.2694
代買代購,https://shopee.tw/代買代購-cat.76,香港代購,https://shopee.tw/香港代購-cat.76.2189
代買代購,https://shopee.tw/代買代購-cat.76,其他國家代購,https://shopee.tw/其他國家代購-cat.76.294
男生衣著,https://shopee.tw/男生衣著-cat.63,T恤,https://shopee.tw/T恤-cat.63.1519
男生衣著,https://shopee.tw/男生衣著-cat.63,長褲,https://shopee.tw/長褲-cat.63.1527
男生衣著,https://shopee.tw/男生衣著-cat.63,外套,https://shopee.tw/外套-cat.63.1533
男生衣著,https://shopee.tw/男生衣著-cat.63,運動服飾,https://shopee.tw/運動服飾-cat.63.2171
男生衣著,https://shopee.tw/男生衣著-cat.63,短褲,https://shopee.tw/短褲-cat.63.1529
男生衣著,https://shopee.tw/男生衣著-cat.63,帽T、大學T,https://shopee.tw/帽T、大學T-cat.63.2573
男生衣著,https://shopee.tw/男生衣著-cat.63,男性內著,https://shopee.tw/男性內著-cat.63.1535
男生衣著,https://shopee.tw/男生衣著-cat.63,Polo衫,https://shopee.tw/Polo衫-cat.63.1523
男生衣著,https://shopee.tw/男生衣著-cat.63,襯衫,https://shopee.tw/襯衫-cat.63.1521
男生衣著,https://shopee.tw/男生衣著-cat.63,背心,https://shopee.tw/背心-cat.63.1525
男生衣著,https://shopee.tw/男生衣著-cat.63,丹寧牛仔,https://shopee.tw/丹寧牛仔-cat.63.1539
男生衣著,https://shopee.tw/男生衣著-cat.63,毛衣、針織衫,https://shopee.tw/毛衣、針織衫-cat.63.14278
男生衣著,https://shopee.tw/男生衣著-cat.63,其他,https://shopee.tw/其他-cat.63.301
居家生活,https://shopee.tw/居家生活-cat.73,餐廚,https://shopee.tw/餐廚-cat.73.1601
居家生活,https://shopee.tw/居家生活-cat.73,收納,https://shopee.tw/收納-cat.73.1605
居家生活,https://shopee.tw/居家生活-cat.73,傢俱,https://shopee.tw/傢俱-cat.73.1597
居家生活,https://shopee.tw/居家生活-cat.73,寢具,https://shopee.tw/寢具-cat.73.1599
居家生活,https://shopee.tw/居家生活-cat.73,五金修繕,https://shopee.tw/五金修繕-cat.73.2184
居家生活,https://shopee.tw/居家生活-cat.73,浴室,https://shopee.tw/浴室-cat.73.1603
居家生活,https://shopee.tw/居家生活-cat.73,日用品,https://shopee.tw/日用品-cat.73.2182
居家生活,https://shopee.tw/居家生活-cat.73,水壺、杯子,https://shopee.tw/水壺、杯子-cat.73.2686
居家生活,https://shopee.tw/居家生活-cat.73,居家裝飾,https://shopee.tw/居家裝飾-cat.73.2181
居家生活,https://shopee.tw/居家生活-cat.73,居家香氛,https://shopee.tw/居家香氛-cat.73.2183
居家生活,https://shopee.tw/居家生活-cat.73,文具,https://shopee.tw/文具-cat.73.1609
居家生活,https://shopee.tw/居家生活-cat.73,園藝植作,https://shopee.tw/園藝植作-cat.73.2621
居家生活,https://shopee.tw/居家生活-cat.73,燈具,https://shopee.tw/燈具-cat.73.2618
居家生活,https://shopee.tw/居家生活-cat.73,居安防護,https://shopee.tw/居安防護-cat.73.16291
居家生活,https://shopee.tw/居家生活-cat.73,其他,https://shopee.tw/其他-cat.73.296
居家生活,https://shopee.tw/居家生活-cat.73,電動工具,https://shopee.tw/電動工具-cat.73.19985
男鞋,https://shopee.tw/男鞋-cat.1859,涼鞋、拖鞋,https://shopee.tw/涼鞋、拖鞋-cat.1859.1867
男鞋,https://shopee.tw/男鞋-cat.1859,休閒鞋、帆布鞋,https://shopee.tw/休閒鞋、帆布鞋-cat.1859.1861
男鞋,https://shopee.tw/男鞋-cat.1859,皮鞋、靴子,https://shopee.tw/皮鞋、靴子-cat.1859.1869
男鞋,https://shopee.tw/男鞋-cat.1859,鞋材用品,https://shopee.tw/鞋材用品-cat.1859.7889
男鞋,https://shopee.tw/男鞋-cat.1859,其他,https://shopee.tw/其他-cat.1859.1860
寵物,https://shopee.tw/寵物-cat.1657,外出用品,https://shopee.tw/外出用品-cat.1657.1663
寵物,https://shopee.tw/寵物-cat.1657,寵物零食,https://shopee.tw/寵物零食-cat.1657.2698
寵物,https://shopee.tw/寵物-cat.1657,貓飼料,https://shopee.tw/貓飼料-cat.1657.2672
寵物,https://shopee.tw/寵物-cat.1657,狗飼料,https://shopee.tw/狗飼料-cat.1657.2671
寵物,https://shopee.tw/寵物-cat.1657,其他寵物食品,https://shopee.tw/其他寵物食品-cat.1657.2673
寵物,https://shopee.tw/寵物-cat.1657,寵物用品,https://shopee.tw/寵物用品-cat.1657.2205
寵物,https://shopee.tw/寵物-cat.1657,寵物玩具,https://shopee.tw/寵物玩具-cat.1657.2674
寵物,https://shopee.tw/寵物-cat.1657,寵物服飾,https://shopee.tw/寵物服飾-cat.1657.1661
寵物,https://shopee.tw/寵物-cat.1657,水族相關,https://shopee.tw/水族相關-cat.1657.2675
寵物,https://shopee.tw/寵物-cat.1657,其他,https://shopee.tw/其他-cat.1657.1658
寵物,https://shopee.tw/寵物-cat.1657,鳥類相關,https://shopee.tw/鳥類相關-cat.1657.20265
寵物,https://shopee.tw/寵物-cat.1657,鼠兔相關,https://shopee.tw/鼠兔相關-cat.1657.20263
寵物,https://shopee.tw/寵物-cat.1657,寵物營養保健品,https://shopee.tw/寵物營養保健品-cat.1657.20261
其他類別,https://shopee.tw/其他類別-cat.68,客製商品,https://shopee.tw/客製商品-cat.68.1671
