ｄポイントクラブ,https://www.appannie.com/apps/google-play/app/com.nttdocomo.android.dpoint/details/,https://www.appannie.com/apps/google-play/app/com.nttdocomo.android.dpoint/keywords/?device=android&date=2018-09-06~2018-12-04&countries=JP&order_by=isPinned&order_type=desc&chart_type=rank&table_selections=1797759&series=1797759
フリマアプリ「メルカリ」オークションよりかんたん,https://www.appannie.com/apps/google-play/app/com.kouzoh.mercari/details/,https://www.appannie.com/apps/google-play/app/com.kouzoh.mercari/keywords/?device=android&date=2018-09-06~2018-12-04&countries=JP&order_by=isPinned&order_type=desc&chart_type=rank&table_selections=1797759&series=1797759
Amazon Shopping,https://www.appannie.com/apps/google-play/app/com.amazon.mShop.android.shopping/details/,https://www.appannie.com/apps/google-play/app/com.amazon.mShop.android.shopping/keywords/?device=android&date=2018-09-06~2018-12-04&countries=JP&order_by=isPinned&order_type=desc&chart_type=rank&table_selections=1797759&series=1797759
楽天市場 いつでもポイント+1倍,https://www.appannie.com/apps/google-play/app/jp.co.rakuten.android/details/,https://www.appannie.com/apps/google-play/app/jp.co.rakuten.android/keywords/?device=android&date=2018-09-06~2018-12-04&countries=JP&order_by=isPinned&order_type=desc&chart_type=rank&table_selections=1797759&series=1797759
ラクマ（旧フリル） - 満足度No.1 楽天のフリマアプリ,https://www.appannie.com/apps/google-play/app/jp.co.fablic.fril/details/,https://www.appannie.com/apps/google-play/app/jp.co.fablic.fril/keywords/?device=android&date=2018-09-06~2018-12-04&countries=JP&order_by=isPinned&order_type=desc&chart_type=rank&table_selections=1797759&series=1797759
ヤフオク! -ネットオークション、フリマアプリ スマホでかんたんショッピング,https://www.appannie.com/apps/google-play/app/jp.co.yahoo.android.yauction/details/,https://www.appannie.com/apps/google-play/app/jp.co.yahoo.android.yauction/keywords/?device=android&date=2018-09-06~2018-12-04&countries=JP&order_by=isPinned&order_type=desc&chart_type=rank&table_selections=1797759&series=1797759
Yahoo!ショッピング-アプリでお得で便利にお買い物,https://www.appannie.com/apps/google-play/app/jp.co.yahoo.android.yshopping/details/,https://www.appannie.com/apps/google-play/app/jp.co.yahoo.android.yshopping/keywords/?device=android&date=2018-09-06~2018-12-04&countries=JP&order_by=isPinned&order_type=desc&chart_type=rank&table_selections=1797759&series=1797759
地元でゆずりあい　ジモティー　掲載料0円手数料0円！無料で、ラクに、すぐに処分できる掲示板,https://www.appannie.com/apps/google-play/app/jp.jmty.app2/details/,https://www.appannie.com/apps/google-play/app/jp.jmty.app2/keywords/?device=android&date=2018-09-06~2018-12-04&countries=JP&order_by=isPinned&order_type=desc&chart_type=rank&table_selections=1797759&series=1797759
ファッション通販 ZOZOTOWN,https://www.appannie.com/apps/google-play/app/jp.zozo.android.town/details/,https://www.appannie.com/apps/google-play/app/jp.zozo.android.town/keywords/?device=android&date=2018-09-06~2018-12-04&countries=JP&order_by=isPinned&order_type=desc&chart_type=rank&table_selections=1797759&series=1797759
ヤマダ電機　ケイタイde安心,https://www.appannie.com/apps/google-play/app/jp.co.unisys.android.yamadamobile/details/,https://www.appannie.com/apps/google-play/app/jp.co.unisys.android.yamadamobile/keywords/?device=android&date=2018-09-06~2018-12-04&countries=JP&order_by=isPinned&order_type=desc&chart_type=rank&table_selections=1797759&series=1797759
電子マネー「nanaco」,https://www.appannie.com/apps/google-play/app/jp.nanaco.android/details/,https://www.appannie.com/apps/google-play/app/jp.nanaco.android/keywords/?device=android&date=2018-09-06~2018-12-04&countries=JP&order_by=isPinned&order_type=desc&chart_type=rank&table_selections=1797759&series=1797759
Wish - Shopping Made Fun,https://www.appannie.com/apps/google-play/app/com.contextlogic.wish/details/,https://www.appannie.com/apps/google-play/app/com.contextlogic.wish/keywords/?device=android&date=2018-09-06~2018-12-04&countries=JP&order_by=isPinned&order_type=desc&chart_type=rank&table_selections=1797759&series=1797759
Qoo10-今日のコスパを掘り出そう!いつでもお得にお買い物,https://www.appannie.com/apps/google-play/app/net.giosis.shopping.jp/details/,https://www.appannie.com/apps/google-play/app/net.giosis.shopping.jp/keywords/?device=android&date=2018-09-06~2018-12-04&countries=JP&order_by=isPinned&order_type=desc&chart_type=rank&table_selections=1797759&series=1797759
ノジマ,https://www.appannie.com/apps/google-play/app/jp.mnoji.app/details/,https://www.appannie.com/apps/google-play/app/jp.mnoji.app/keywords/?device=android&date=2018-09-06~2018-12-04&countries=JP&order_by=isPinned&order_type=desc&chart_type=rank&table_selections=1797759&series=1797759
Wowma! Wow!なイベント毎日開催! 通販ショッピングアプリ,https://www.appannie.com/apps/google-play/app/jp.wowma.app/details/,https://www.appannie.com/apps/google-play/app/jp.wowma.app/keywords/?device=android&date=2018-09-06~2018-12-04&countries=JP&order_by=isPinned&order_type=desc&chart_type=rank&table_selections=1797759&series=1797759
楽天Edy：ポイントがドンドン貯まる便利でお得な電子マネー,https://www.appannie.com/apps/google-play/app/jp.edy.edyapp/details/,https://www.appannie.com/apps/google-play/app/jp.edy.edyapp/keywords/?device=android&date=2018-09-06~2018-12-04&countries=JP&order_by=isPinned&order_type=desc&chart_type=rank&table_selections=1797759&series=1797759
minne - ハンドメイドマーケットアプリ,https://www.appannie.com/apps/google-play/app/jp.co.paperboy.minne.app/details/,https://www.appannie.com/apps/google-play/app/jp.co.paperboy.minne.app/keywords/?device=android&date=2018-09-06~2018-12-04&countries=JP&order_by=isPinned&order_type=desc&chart_type=rank&table_selections=1797759&series=1797759
