Item name,Price,Review num,Item url
Wrangler Men's Big & Tall Wrancher Dress Jean,$24.05 - $50.81,82,https://www.amazon.com/Wrangler-Wrancher-Dress-Medium-46x30/dp/B006B5WUP6/ref=sr_1_642?s=apparel&ie=UTF8&qid=1548232211&sr=1-642&nodeID=1045564&psd=1
Comfort Denim Outfitters Men's Skinny Fit Jeans - Spring Summer 8,$21.00 - $23.20,4,https://www.amazon.com/Comfort-Denim-Outfitters-Skinny-Jeans/dp/B07BKZWTD5/ref=sr_1_643?s=apparel&ie=UTF8&qid=1548232211&sr=1-643&nodeID=1045564&psd=1
Dickies Men's Regular Fit 5-Pocket Flex Performance Jean,$29.99 ,0,https://www.amazon.com/Dickies-Regular-5-Pocket-Performance-Tumbled/dp/B06Y5DZLHM/ref=sr_1_644?s=apparel&ie=UTF8&qid=1548232211&sr=1-644&nodeID=1045564&psd=1
Dickies Men's Regular Fit 5-Pocket Flex Performance Jean,$60.00 ,0,https://www.amazon.com/Dickies-Regular-5-Pocket-Performance-Tumbled/dp/B06Y5D8JKJ/ref=sr_1_645?s=apparel&ie=UTF8&qid=1548232211&sr=1-645&nodeID=1045564&psd=1
Levi's Men's 569 Loose Straight Fit-Jeans,$42.24 - $49.99,7,https://www.amazon.com/Levis-Mens-Loose-Straight-Fit-Jeans/dp/B07CBYS2V5/ref=sr_1_646?s=apparel&ie=UTF8&qid=1548232211&sr=1-646&nodeID=1045564&psd=1
MR. R Men's Fashion Ripped Slim Fit Jeans,$36.79 - $39.89,51,https://www.amazon.com/Mens-Fashion-Ripped-Jeans-Retro-x/dp/B01MXMKI7V/ref=sr_1_647?s=apparel&ie=UTF8&qid=1548232211&sr=1-647&nodeID=1045564&psd=1
34 Heritage Men's Courage Straight Pants,$99.95 - $195.00,2,https://www.amazon.com/34-Heritage-Courage-Straight-Denim/dp/B0784YVGCT/ref=sr_1_648?s=apparel&ie=UTF8&qid=1548232211&sr=1-648&nodeID=1045564&psd=1
XARAZA Men's Stretchy Ripped Skinny Biker Jeans Taped Slim Fit Denim Pants,$14.97 - $15.98,6,https://www.amazon.com/Stretchy-Ripped-Skinny-Biker-Newest/dp/B07HH2YNVT/ref=sr_1_649?s=apparel&ie=UTF8&qid=1548232211&sr=1-649&nodeID=1045564&psd=1
Harbor Bay by DXL Big and Tall Continuous Comfort Stretch Jeans,$55.00 ,7,https://www.amazon.com/Harbor-Bay-Continuous-Comfort-Stretch/dp/B07HN8Z2BC/ref=sr_1_650?s=apparel&ie=UTF8&qid=1548232211&sr=1-650&nodeID=1045564&psd=1
AG Adriano Goldschmied Men's The Ives Modern Athletic in 360 Denim,$120.69 - $198.00,0,https://www.amazon.com/AG-Adriano-Goldschmied-Athletic-Burroughs/dp/B07FY1FCMY/ref=sr_1_651?s=apparel&ie=UTF8&qid=1548232211&sr=1-651&nodeID=1045564&psd=1
Goodthreads Men's Straight-Fit Selvedge Jean,$50.00 ,55,https://www.amazon.com/Goodthreads-Mens-Straight-Fit-Selvedge-Jean/dp/B078B229ZS/ref=sr_1_652?s=apparel&ie=UTF8&qid=1548232211&sr=1-652&nodeID=1045564&psd=1
7 For All Mankind Men's Modern Straight-Leg Luxe Performance Jean,$182.97 - $208.00,8,https://www.amazon.com/All-Mankind-Straight-Leg-Performance-Pacific/dp/B00VFEIZOS/ref=sr_1_653?s=apparel&ie=UTF8&qid=1548232211&sr=1-653&nodeID=1045564&psd=1
526Jeanswear Men's Raptor Stretch Super Skinny Fit Jeans,$19.99 - $29.99,4,https://www.amazon.com/526Jeanswear-Raptor-Stretch-Super-Skinny/dp/B07HG6D4MR/ref=sr_1_654?s=apparel&ie=UTF8&qid=1548232211&sr=1-654&nodeID=1045564&psd=1
Carhartt Men's Rugged Flex Rigby Five Pocket Jean,$44.99 - $69.38,23,https://www.amazon.com/Carhartt-Rugged-Rigby-Pocket-Coffee/dp/B06W2NGPPY/ref=sr_1_655?s=apparel&ie=UTF8&qid=1548232211&sr=1-655&nodeID=1045564&psd=1
Mavi Men's Myles Straight Leg,$55.61 - $98.00,11,https://www.amazon.com/Mavi-Mens-Myles-Straight-Yaletown/dp/B00GBCWF4U/ref=sr_1_656?s=apparel&ie=UTF8&qid=1548232211&sr=1-656&nodeID=1045564&psd=1
Southpole Men's Super Skinny Biker/Moto Denim Pants,$12.79 - $21.88,53,https://www.amazon.com/Southpole-Super-Skinny-Biker-Denim/dp/B077GBDL1Q/ref=sr_1_657?s=apparel&ie=UTF8&qid=1548232211&sr=1-657&nodeID=1045564&psd=1
Southpole Men's Stretch Utility Denim,$17.62 - $21.99,5,https://www.amazon.com/Southpole-Stretch-Utility-Denim-Black/dp/B07FB5GHFG/ref=sr_1_658?s=apparel&ie=UTF8&qid=1548232211&sr=1-658&nodeID=1045564&psd=1
Pishon Men's Distressed Jeans Washed Stretchy Tapered Leg with Holes Ripped Jeans,$25.99 - $29.99,35,https://www.amazon.com/Pishon-Distressed-Washed-Stretchy-Tapered/dp/B073FMBL27/ref=sr_1_659?s=apparel&ie=UTF8&qid=1548232211&sr=1-659&nodeID=1045564&psd=1
7 For All Mankind Men's Slimmy Slim Straight-Leg Jean,$120.68 - $199.00,0,https://www.amazon.com/All-Mankind-Slimmy-Straight-Leg-Vendetta/dp/B07D8SDXCK/ref=sr_1_660?s=apparel&ie=UTF8&qid=1548232211&sr=1-660&nodeID=1045564&psd=1
ETHANOL Mens Slim Hyper Stretch Motion Denim Five Pocket Jean,$11.19 - $23.99,52,https://www.amazon.com/ETHANOL-Stretch-Motion-APL22880SK-Indigo/dp/B071WKMN1W/ref=sr_1_661?s=apparel&ie=UTF8&qid=1548232211&sr=1-661&nodeID=1045564&psd=1
PAIGE Men's Lennox Skinny Jean in Black Shadow,$179.00 ,3,https://www.amazon.com/PAIGE-Lennox-Skinny-Black-Shadow/dp/B00UUGWN2M/ref=sr_1_662?s=apparel&ie=UTF8&qid=1548232211&sr=1-662&nodeID=1045564&psd=1
Dickies Occupational Workwear CR393RNB Denim Cotton Relaxed Fit Men's Industrial Jean with Straight Leg Indigo Blue,$16.96 - $35.64,120,https://www.amazon.com/Dickies-Occupational-Workwear-CR393RNB-Industrial/dp/B0001YRNIW/ref=sr_1_663?s=apparel&ie=UTF8&qid=1548232211&sr=1-663&nodeID=1045564&psd=1
Wrangler Men's Premium Performance Cool Vantage Cowboy Cut Slim-Fit Jean,$25.88 - $84.79,96,https://www.amazon.com/Wrangler-Premium-Performance-Vantage-Cowboy/dp/B00X1Q30KC/ref=sr_1_664?s=apparel&ie=UTF8&qid=1548232211&sr=1-664&nodeID=1045564&psd=1
