时间戳记,Your Bitcointalk Username,Your Forum Profile Link,Your Twitter Link ,Number of Your Followers,Your Ethereum Address,status,note,Tokens Awarded
2018/04/19 2:33:37 下午 GMT+8,Devang,https://bitcointalk.org/index.php?action=profile;u=1953796;sa=summary,https://twitter.com/Devanggupta7/status/986855260248420352?s=20,14,0xDbC1fE2B4538bb7b05afDf74FbeDD885E7a911fE, deny,,0 NABS
2018/04/19 3:00:56 下午 GMT+8,pranimbo,https://bitcointalk.org/index.php?action=profile;u=1495332,https://twitter.com/Yokopranimbo3,10500,0x80b16E5ce38F3f9c89cFBCeF1aD1a5696A66E579, deny,delete the retweet,0 NABS
2018/04/19 3:42:03 下午 GMT+8,raresh,https://bitcointalk.org/index.php?action=profile;u=1899477,https://twitter.com/NausGlobal/status/974481846070231040,2140,0xC7557805cCBB50f005F2dFB5e595a7303F0a1f05, deny,wrong twitter link,0 NABS
2018/04/19 6:28:13 下午 GMT+8,baliesta_undr,https://bitcointalk.org/index.php?action=profile;u=527529,https://twitter.com/DanataRober,743,0x5FfF7b6426a3AAE8fe1426Aea34C59313b51F42a, confirmation,,30 NABS 
2018/04/19 8:08:01 下午 GMT+8,seth13,https://bitcointalk.org/index.php?action=profile;u=1921826,https://twitter.com/NausGlobal/status/974481846070231040,258,0x984950083643456A2959c9EE2184789af996b84f, deny,wrong twitter link,0 NABS
2018/04/20 10:33:19 上午 GMT+8,Kripto.hsv,https://m.facebook.com/adilsetaiwan9,https://mobile.twitter.com/adielsetiawan1,450,0x69fb146D0Fd6f833eA9329c5e019aE47C0A04915, confirmation,,30 NABS 
2018/04/20 7:25:50 下午 GMT+8,cryptodiamond12,https://bitcointalk.org/index.php?action=profile;u=1080113,https://twitter.com/cryptodiamond03,474,0x726BaCe9730fb734bE6Bc7631FC29BAD8fE3A0f2, deny,,0 NABS
2018/04/21 8:06:07 上午 GMT+8,airdropplaza,https://bitcointalk.org/index.php?action=profile;u=1856491,https://twitter.com/crypto_ted,218,0xbB9214920D1AaE481fcEc77401df9fB0235E5843, confirmation,,30 NABS 
2018/04/21 10:35:46 上午 GMT+8,Fred3030,https://bitcointalk.org/index.php?action=profile;u=1614757;sa=account,https://mobile.twitter.com/njoku_chidima,560,0xdb3aBa66Da08C1Bc770B9B764048f7fD9C3dCdba, confirmation,,30 NABS 
2018/04/21 10:55:24 上午 GMT+8,jamesndungu1,https://bitcointalk.org/index.php?action=profile;u=1856049,https://twitter.com/jamesndungu,32,0x8E8A5B6e2ABF1Bb64759bDd4DBe788F45B1D4f54, confirmation,,30 NABS 
2018/04/21 3:30:38 下午 GMT+8,bernardsab,https://bitcointalk.org/index.php?action=profile;u=1795196,https://twitter.com/NausGlobal/status/974481846070231040,69,0x7518E2D21b169cC8139ff32649aAcb6774359266, deny,wrong link,0 NABS
2018/04/22 2:09:27 上午 GMT+8,Crasengover,https://bitcointalk.org/index.php?action=profile;u=1110446,https://twitter.com/ATertyichnyiy,11000,0xBbE18dfd758ffB3a2acBCbb215e351E59176F63e, confirmation,,30 NABS 
2018/04/22 1:02:13 下午 GMT+8,MuhamadDikri,https://bitcointalk.org/index.php?action=profile;u=1318848;sa=summary,https://twitter.com/MuhamadDikri_1,17000,0xE9D3D4E6977a3a901a91AC8648EA8a1e16E1829E, deny,,0 NABS
2018/04/23 2:20:22 上午 GMT+8,lapunder,https://bitcointalk.org/index.php?action=profile;u=1143381,https://twitter.com/YuriLapunov,4000,0xBeF99A4AB7CDA864FA69066d27d5cc248f4038a9, deny,,0 NABS
2018/04/23 5:58:08 上午 GMT+8,invincible49,https://bitcointalk.org/index.php?action=profile;u=1215448,https://twitter.com/quoting_lives,5328,0x0F67e5867b72a8E8802d7a509a7b8F64ae5A5Db3, deny,,0 NABS
2018/04/23 11:08:12 上午 GMT+8,raveepisini,https://bitcointalk.org/index.php?action=profile;u=1769455;sa=account,https://twitter.com/rpisini77,52,0xA15b701999b68480425Db6ecaf0f6Ec55943eCFd, deny,,0 NABS
2018/04/23 5:21:37 下午 GMT+8,Hantublang,https://bitcointalk.org/index.php?action=profile;u=1354905,https://mobile.twitter.com/Anggel74258155,3300,0xe1a17C6a5bBcF230e0664Baeb6F1956aF2CaDf25, deny,,0 NABS
2018/04/23 10:13:32 下午 GMT+8,Izenk,https://bitcointalk.org/index.php?action=profile;u=1677513,https://www.twitter.com/Izenk10,3465,0xAb2B9e7e1279f9f11F39c96614c77Ed2684503ac, deny,,0 NABS
2018/04/24 2:43:24 上午 GMT+8,prokerduit,https://bitcointalk.org/index.php?action=profile;u=1534829,https://twitter.com/DavanishFauzi,2300,0x945279550FA9E8Def8E8aB06F97c79f6254cddde, confirmation,,30 NABS 
2018/04/24 9:16:07 上午 GMT+8,Jombang,https://bitcointalk.org/index.php?action=profile;u=1153639,https://twitter.com/dndyrw,222,0xF3991948628234ea7b71FB4b70160258b5A0865c, deny,,0 NABS
2018/04/24 4:18:36 下午 GMT+8,illusion_ishita,https://bitcointalk.org/index.php?action=profile;u=1489275;,https://twitter.com/annmon_a,1014,0xc10Bd0e6b87836D35fadd0c65195dc239DCCB1F1, confirmation,,30 NABS 
2018/04/24 6:46:32 下午 GMT+8,764y111,https://bitcointalk.org/index.php?action=profile;u=1547657,http://twitter.com/Huym1992?s=07,2244,0xd2f24d90a9151d700101c52486bfd5774fd0f0b2, deny,,0 NABS
2018/04/24 7:23:25 下午 GMT+8,krabovD,https://bitcointalk.org/index.php?action=profile;u=1466209,https://twitter.com/eugene_korn,5800,0xb5DA02400090A1f1D32496A908174837571356ef, deny,,0 NABS
2018/04/25 2:42:24 下午 GMT+8,Christina30,https://bitcointalk.org/index.php?action=profile;u=1209892;sa=summary,https://mobile.twitter.com/Marianaled25,2200,0x99bF569A0aFef5077696a014B227207F8c8a3E5B, deny,,0 NABS
2018/04/25 6:41:44 下午 GMT+8,proekrduit,https://bitcointalk.org/index.php?action=profile;u=1534829,https://twitter.com/DavanishFauzi,2300,0x945279550FA9E8Def8E8aB06F97c79f6254cddde, confirmation,,30 NABS 
2018/04/25 8:09:58 下午 GMT+8,exclusiv4ek14,https://bitcointalk.org/index.php?action=profile;u=1971819,https://twitter.com/theIIouvre,4340,0xf50c86a6b04473cE641C9b257FE857B90E1363FD, confirmation,,30 NABS 
2018/04/27 2:22:28 下午 GMT+8,xxxzero,https://bitcointalk.org/index.php?action=profile;u=1239266,https://twitter.com/blinonecom,4200,0x1f3562FC215F9fcA22d4dCd1a7c16A6f1e623F9E, confirmation,,30 NABS 
2018/04/27 9:46:20 下午 GMT+8,Overlord_9,https://bitcointalk.org/index.php?action=profile;u=1855008,https://twitter.com/Crypto_Pack,1300,0xe57c2014c494be7262a4dd18f3142092c55a3d08, confirmation,,30 NABS 
2018/05/01 10:36:32 下午 GMT+8,kenthir,https://bitcointalk.org/index.php?action=profile;u=2041057,https://twitter.com/sonyab4574tg,375,0x8000aed63C619a44273dFCdB9f7e8B2FBd757902, confirmation,,30 NABS 
2018/05/01 10:52:06 下午 GMT+8,amahdoude,https://bitcointalk.org/index.php?action=profile;u=1209942,https://twitter.com/jmm77585,520,0x1944Ea91EF6447b64d9a61d8C7D0FFA0f00a26D7, confirmation,,30 NABS 
2018/05/02 11:32:42 上午 GMT+8,anakbuahcinde,https://bitcointalk.org/index.php?action=profile;u=1930314,https://twitter.com/Sefania_19,300,0x96a588E3bFD0B312dC99dFff68BdB18C7B216Cd7, confirmation,,30 NABS 
2018/05/02 12:10:24 下午 GMT+8,jponline4u,https://bitcointalk.org/index.php?action=profile;u=1852805, https://twitter.com/jponline4u,217,0x66F51eD69284f0480B2e6E9fD13b827Fa7b44A90, confirmation,,30 NABS 
2018/05/02 12:17:30 下午 GMT+8,monojet1,https://bitcointalk.org/index.php?action=profile;u=1852724,https://twitter.com/monojet1,221,0x89C8677E0Ff3100aDaA39B4e5138DCC12Bb031AB, confirmation,,30 NABS 
2018/05/03 10:58:04 上午 GMT+8,Kripto.hsv,https://bitcointalk.org/index.php?action=profile;u=1878701,https://mobile.twitter.com/adielsetiawan1,600,0x69fb146D0Fd6f833eA9329c5e019aE47C0A04915, confirmation,,30 NABS 
2018/05/03 7:17:13 下午 GMT+8,kenthir,https://bitcointalk.org/index.php?action=profile;u=2041057,https://twitter.com/sonyab4574tg,392,0x8000aed63C619a44273dFCdB9f7e8B2FBd757902, confirmation,,30 NABS 
2018/05/03 9:06:05 下午 GMT+8,Syaza,https://bitcointalk.org/index.php?action=profile;u=953593;sa=summary,https://twitter.com/syaza_jasmine77,760,0x21e70fee23868b5c84e3cfa093990ccc1eb5d02f, deny,,0 NABS
2018/05/04 9:07:52 上午 GMT+8,anakbuahcinde,https://bitcointalk.org/index.php?action=profile;u=1930314,https://twitter.com/Sefania_19,300,0x96a588E3bFD0B312dC99dFff68BdB18C7B216Cd7, confirmation,,30 NABS 
