category,price,pro_name,pro_url,review_num
trang-diem-mat,35000 ,SÁP MẮT NHŨ DẠNG THỎI NOVO,https://www.lazada.vn/products/sap-mat-nhu-dang-thoi-novo-i214317360-s268479698.html?search=1,245
trang-diem-mat,65000 ,Bảng Phấn mắt Lameila 35 màu nội địa Trung,https://www.lazada.vn/products/bang-phan-mat-lameila-35-mau-noi-dia-trung-i271570634-s408020315.html?search=1,3
trang-diem-mat,29000 ,Bảng Phấn Mắt Play Color Geo 10 Bản New,https://www.lazada.vn/products/bang-phan-mat-play-color-geo-10-ban-new-i255345960-s348246339.html?search=1,323
trang-diem-mat,39000 ,[FS 99K + COMBO GIẢM GIÁ 12K] Combo 3 dụng cụ hỗ trợ trang điểm cho mắt - Bộ combo đầy đủ hoàn hảo cho bạn gái - Lamdepdeal,https://www.lazada.vn/products/fs-99k-combo-giam-gia-12k-combo-3-dung-cu-ho-tro-trang-diem-cho-mat-bo-combo-day-du-hoan-hao-cho-ban-gai-lamdepdeal-i212449624-s266100369.html?search=1,150
mat,325000 ,Phấn nước April Skin Magic Snow Cushion SPF 50++ PA+++,https://www.lazada.vn/products/phan-nuoc-april-skin-magic-snow-cushion-spf-50-pa-i277170275-s429338292.html?search=1,125
mat,115000 ,"Phấn Phủ Hoa Sen Kiềm Dầu, Mịn Da #1",https://www.lazada.vn/products/phan-phu-hoa-sen-kiem-dau-min-da-1-i229271889-s290812651.html?search=1,125
mat,920000 ,ItCosmetics Your Skin But Better CC+ Cream Oil-Free Matte with SPF 40,https://www.lazada.vn/products/itcosmetics-your-skin-but-better-cc-cream-oil-free-matte-with-spf-40-i258176041-s357746209.html?search=1,125
mat,190000 ,Combo 20 gói Tinh Chất Vàng Whoo Hwa Hyun Gold Ampoule,https://www.lazada.vn/products/combo-20-goi-tinh-chat-vang-whoo-hwa-hyun-gold-ampoule-i264650927-s379454256.html?search=1,125
mat,219000 ,Kem nền dạng thỏi cao cấp BB Stick Mini SPF43 PA+++ CHÍNH HÃNG tone màu 22 dùng thích hợp với mọi loại da,https://www.lazada.vn/products/kem-nen-dang-thoi-cao-cap-bb-stick-mini-spf43-pa-chinh-hang-tone-mau-22-dung-thich-hop-voi-moi-loai-da-i235288828-s299726976.html?search=1,125
mat,550000 ,Phấn nước Teo Yang,https://www.lazada.vn/products/phan-nuoc-teo-yang-i231768022-s294258020.html?search=1,125
mat,1350000 ,Bộ Dưỡng Da Nam The Gentle For Men - BDTGFMTFS02,https://www.lazada.vn/products/bo-duong-da-nam-the-gentle-for-men-bdtgfmtfs02-i200262856-s260172959.html?search=1,125
mong,49000 ,Bộ 3 bấm móng tay UBL AG0005,https://www.lazada.vn/products/bo-3-bam-mong-tay-ubl-ag0005-i184938-s219618.html?search=1,23
moi,55000 ,"Son môi VIBELY cao cấp, son kem - [ToTo Shop]",https://www.lazada.vn/products/son-moi-vibely-cao-cap-son-kem-toto-shop-i257442109-s360075930.html?search=1,179
moi,109000 ,"Set Son Kem Holdlive HOLD LIVE Light Matte Lip Glaze, Hold LIve",https://www.lazada.vn/products/set-son-kem-holdlive-hold-live-light-matte-lip-glaze-hold-live-i269078192-s393976889.html?search=1,44
moi,88000 ,Son thỏi lì siêu nhẹ môi Baby Sexy Ver1 Kèm quà tri ân.,https://www.lazada.vn/products/son-thoi-li-sieu-nhe-moi-baby-sexy-ver1-kem-qua-tri-an-i254143920-s343686762.html?search=1,223
moi,115000 ,SON KEM LÌ SIÊU MỊN BLACK ROUGE AIR FIT VELVET TINT VERSION 2,https://www.lazada.vn/products/son-kem-li-sieu-min-black-rouge-air-fit-velvet-tint-version-2-i257203310-s354672502.html?search=1,237
moi,250000 ,SON KEM GẤC DỀN MẸ KEN COMBO 1 SON 1 DƯỠNG MÀU ĐỎ TƯƠI-CHẤT SON LỲ BỀN MÀU AN TOÀN TƯƠI MƯỚT MÔI,https://www.lazada.vn/products/son-kem-gac-den-me-ken-combo-1-son-1-duong-mau-do-tuoi-chat-son-ly-ben-mau-an-toan-tuoi-muot-moi-i246122424-s315999351.html?search=1,1
trang-diem-mat,23000 ,(GIÁ RẺ) Bảng Màu Mắt Phấn Mắt 10 Màu EyeShadow Matte Ánh Nhũ  Lameila Color play L0109,https://www.lazada.vn/products/gia-re-bang-mau-mat-phan-mat-10-mau-eyeshadow-matte-anh-nhu-lameila-color-play-l0109-i266434295-s386468646.html?search=1,53
trang-diem-mat,50000 ,HOT SET GEL NHŨ MẮT KIM TUYẾN 6 CÂY #STILA,https://www.lazada.vn/products/hot-set-gel-nhu-mat-kim-tuyen-6-cay-stila-i273106068-s415738346.html?search=1,2
trang-diem-mat,29000 ,HỘP PHẤN MẮT EYES EYESHADOW COLOR PLAY PHIÊN BẢN HOA ANH ĐÀO L0104,https://www.lazada.vn/products/hop-phan-mat-eyes-eyeshadow-color-play-phien-ban-hoa-anh-dao-l0104-i266264857-s385852092.html?search=1,17
trang-diem-mat,29000 ,Kẻ mắt nước Eyeliner Maycreate,https://www.lazada.vn/products/ke-mat-nuoc-eyeliner-maycreate-i232401093-s295330187.html?search=1,93
trang-diem-mat,44000 ,Bộ Khuôn Kẻ Con Dấu In Lông Mày SHEZI,https://www.lazada.vn/products/bo-khuon-ke-con-dau-in-long-may-shezi-i170574657-s186530793.html?search=1,62
mat,315000 ,BB STICK (kem trang điểm nhanh),https://www.lazada.vn/products/bb-stick-kem-trang-diem-nhanh-i223168444-s281114944.html?search=1,125
mat,750000 ,Hồng Sâm Viên Nén,https://www.lazada.vn/products/hong-sam-vien-nen-i275286898-s422710194.html?search=1,125
mat,124000 ,"Phấn Nước siêu kềm dầu, che phủ tốt Missha M Magic Cushion Cover SPF50+ Pa+++",https://www.lazada.vn/products/phan-nuoc-sieu-kem-dau-che-phu-tot-missha-m-magic-cushion-cover-spf50-pa-i211982128-s265379844.html?search=1,286
mat,350000 ,Kem lót nền trang điểm CC Benew Special CC Cream SPF50 PA+++ 30ml + Quà tặng sữa rửa mặt Ốc Sên Benew 100ml,https://www.lazada.vn/products/kem-lot-nen-trang-diem-cc-benew-special-cc-cream-spf50-pa-30ml-qua-tang-sua-rua-mat-oc-sen-benew-100ml-i131808766-s131963730.html?search=1,286
mat,178000 ,Phấn nước mịn mượt da AGC ANGRECI BB Hàn Quốc,https://www.lazada.vn/products/phan-nuoc-min-muot-da-agc-angreci-bb-han-quoc-i260003169-s363806520.html?search=1,286
mong,39000 ,Bộ 2 giũa móng tay UBL AG0026,https://www.lazada.vn/products/bo-2-giua-mong-tay-ubl-ag0026-i134398-s157820.html?search=1,4
mong,49000 ,Sơn móng tay Miniso (Linen Golden),https://www.lazada.vn/products/son-mong-tay-miniso-linen-golden-i277280891-s429746798.html?search=1,4
mong,99000 ,Bộ dụng cụ chăm sóc móng 12 chi tiết tiện dụng sang trọng,https://www.lazada.vn/products/bo-dung-cu-cham-soc-mong-12-chi-tiet-tien-dung-sang-trong-i274106924-s419194001.html?search=1,4
mong,145000 ,Keo đính đá dạng xịt YDD BOND,https://www.lazada.vn/products/keo-dinh-da-dang-xit-ydd-bond-i256636427-s352211028.html?search=1,1
mong,427000 ,Bấm móng tay cao cấp Nhật trẻ em KAI KF0126 bộ bấm móng tay trẻ em,https://www.lazada.vn/products/bam-mong-tay-cao-cap-nhat-tre-em-kai-kf0126-bo-bam-mong-tay-tre-em-i266530100-s386744031.html?search=1,1
phu-kien-trang-diem,135000 ,Bộ 4 hộp Bông trang điểm Silcot hộp 82 miếng,https://www.lazada.vn/products/bo-4-hop-bong-trang-diem-silcot-hop-82-mieng-i250905626-s332180508.html?search=1,290
moi,499000 ,10 cây velvet Lip Tint,https://www.lazada.vn/products/10-cay-velvet-lip-tint-i253522356-s340765828.html?search=1,1
moi,45000 ,Khay đựng son 24 ô,https://www.lazada.vn/products/khay-dung-son-24-o-i248302005-s361643504.html?search=1,1
moi,495000 ,COMBO son thỏi lỳ Gold + kem chống nắng Pearl Sun Cream,https://www.lazada.vn/products/combo-son-thoi-ly-gold-kem-chong-nang-pearl-sun-cream-i262834354-s374702091.html?search=1,1
moi,159000 ,Son kem Fresh Creamy - thương hiệu Zureo Hàn Quốc ,https://www.lazada.vn/products/son-kem-fresh-creamy-thuong-hieu-zureo-han-quoc-i212831228-s266548640.html?search=1,1
moi,75000 ,HỘP SON QUÀ TẶNG 8/3 SANG CHẢNH,https://www.lazada.vn/products/hop-son-qua-tang-83-sang-chanh-i266166728-s385202956.html?search=1,5
moi,300000 ,Son môi Nhật Bản,https://www.lazada.vn/products/son-moi-nhat-ban-i246378166-s316531526.html?search=1,5
trang-diem-mat,97000 ,Bảng Phấn Mắt NUDE HUDAMOJI,https://www.lazada.vn/products/bang-phan-mat-nude-hudamoji-i266364039-s386144390.html?search=1,1
trang-diem-mat,24000 ,Bảng phấn mắt Play Color Eyes Lameila PC23,https://www.lazada.vn/products/bang-phan-mat-play-color-eyes-lameila-pc23-i246760360-s317892827.html?search=1,183
trang-diem-mat,25000 ,Mascara dầu dừa dưỡng dài mi Coco Secret,https://www.lazada.vn/products/mascara-dau-dua-duong-dai-mi-coco-secret-i165458701-s181151581.html?search=1,165
trang-diem-mat,40000 ,Bộ Chì Mày Định Hình Novo Fashion Brow + TẶNG Kèm 3 Khuôn Kẻ Mày Và 3 Đầu Chì Thay Thế,https://www.lazada.vn/products/bo-chi-may-dinh-hinh-novo-fashion-brow-tang-kem-3-khuon-ke-may-va-3-dau-chi-thay-the-i246134027-s316011537.html?search=1,27
trang-diem-mat,90000 ,Mascara dài mi chỉ 7 ngày - Henashop 10ml,https://www.lazada.vn/products/mascara-dai-mi-chi-7-ngay-henashop-10ml-i167309941-s183130210.html?search=1,453
trang-diem-mat,29000 ,Bảng phấn mắt 6 màu Lameila (#02),https://www.lazada.vn/products/bang-phan-mat-6-mau-lameila-02-i258025065-s357327419.html?search=1,2
mat,225000 ,Kem nền trang điểm ,https://www.lazada.vn/products/kem-nen-trang-diem-i251157623-s332729952.html?search=1,286
mat,104000 ,Kem Nền Siêu Mịn Lacvert Essance BB SPF 45 PA+++ {50ml},https://www.lazada.vn/products/kem-nen-sieu-min-lacvert-essance-bb-spf-45-pa-50ml-i262970314-s375230810.html?search=1,286
mat,38000 ,Xịt Chống Nắng và Làm Trắng Da Maycreate,https://www.lazada.vn/products/xit-chong-nang-va-lam-trang-da-maycreate-i248122357-s323913312.html?search=1,371
mat,92000 ,KEM NỀN CHE KHUYẾT ĐIỂM 2IN1 CLEVER CAT,https://www.lazada.vn/products/kem-nen-che-khuyet-diem-2in1-clever-cat-i264310299-s378616031.html?search=1,371
mat,33000 ,Kem nền che khuyết điểm images của  hàng nội địa Trung,https://www.lazada.vn/products/kem-nen-che-khuyet-diem-images-cua-hang-noi-dia-trung-i247880504-s323040718.html?search=1,161
mat,199000 ,[Chính Hãng - Có Bill] Kem Nền Che Khuyết Điểm  Dermacol Make up Cover,https://www.lazada.vn/products/chinh-hang-co-bill-kem-nen-che-khuyet-diem-dermacol-make-up-cover-i260844939-s366192746.html?search=1,161
mat,120000 ,Kem nền chống nhăn da Aspasia 4U Special BB Solution Cream Anti Wrinkle 50ML,https://www.lazada.vn/products/kem-nen-chong-nhan-da-aspasia-4u-special-bb-solution-cream-anti-wrinkle-50ml-i2525852-s3087849.html?search=1,1
tay-trang,134000 ,Nước tẩy trang đa năng 3-in-1 L'Oreal Paris Micellar làm sạch sâu 400ml (xanh dương đậm),https://www.lazada.vn/products/nuoc-tay-trang-da-nang-3-in-1-loreal-paris-micellar-lam-sach-sau-400ml-xanh-duong-dam-i258028299-s357407076.html?search=1,439
mong,35000 ,SƠN MÓNG TAY ELITE,https://www.lazada.vn/products/son-mong-tay-elite-i279486465-s436172391.html?search=1,1
