Platform,Category,Item Name,Brand,List Price,Price,Specification,Warranty Service,Stock,Warning Code,Shipping Fee,Item Url
Myntra,Home:Accessories:Unisex Accessories:Laptop Bag:The House of Tara Laptop Bag,The House of Tara Unisex Grey Solid Laptop Bag,The House of Tara,Rs. 1799,Rs. 899,Onesize,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/laptop-bag/the-house-of-tara/the-house-of-tara-unisex-grey-solid-laptop-bag/4348971/buy
Myntra,Home:Accessories:Men Accessories:Messenger Bag:Wildcraft Messenger Bag,Wildcraft Men Orange Foldable Messenger Bag,Wildcraft,Rs. 599,Rs. 317,,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/messenger-bag/wildcraft/wildcraft-men-orange-foldable-messenger-bag/1486709/buy
Myntra,Home:Accessories:Unisex Accessories:Messenger Bag:Bendly Messenger Bag,Bendly Unisex Black Messenger Bag,Bendly,Rs. 699,Rs. 384,Onesize,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/messenger-bag/bendly/bendly-unisex-black-messenger-bag/1316844/buy
Myntra,Home:Accessories:Unisex Accessories:Messenger Bag:Roadster Messenger Bag,Roadster Unisex Black Solid Messenger Bag,Roadster,Rs. 1299,Rs. 389,Onesize,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/messenger-bag/roadster/roadster-unisex-black-solid-messenger-bag/4373249/buy
Myntra,Home:Accessories:Unisex Accessories:Messenger Bag:Roadster Messenger Bag,Roadster Unisex Black Solid Messenger Bag,Roadster,Rs. 1399,Rs. 419,Onesize,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/messenger-bag/roadster/roadster-unisex-black-solid-messenger-bag/4373248/buy
Myntra,Home:Accessories:Men Accessories:Wallets:Teakwood Leathers Wallets,Teakwood Leathers Men Black Solid Two Fold Wallet,Teakwood Leathers,Rs. 999,Rs. 299,Onesize,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/wallets/teakwood-leathers/teakwood-leathers-men-black-solid-two-fold-wallet/2434937/buy
Myntra,Home:Accessories:Men Accessories:Wallets:Swiss Design Wallets,Swiss Design Men Brown Solid Two Fold Wallet,Swiss Design,Rs. 499,Rs. 349,Onesize,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/wallets/swiss-design/swiss-design-men-brown-solid-two-fold-wallet/7308731/buy
Myntra,Home:Accessories:Men Accessories:Wallets:Second SKIN Wallets,Second SKIN Men Black Solid Two Fold Wallet,Second SKIN,Rs. 1599,Rs. 367,Onesize,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/wallets/second-skin/second-skin-men-black-solid-two-fold-wallet/2294580/buy
Myntra,Home:Accessories:Men Accessories:Wallets:Peseta Wallets,Peseta Men Tan Textured Two Fold Wallet,Peseta,Rs. 1849,Rs. 369,Onesize,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/wallets/peseta/peseta-men-tan-textured-two-fold-wallet/6603462/buy
Platform,Category,Item Name,Brand,List Price,Price,Specification,Warranty Service,Stock,Warning Code,Shipping Fee,Item Url
Myntra,Home:Accessories:Men Accessories:Belts:Alvaro Castagnino Belts,Alvaro Castagnino Men Brown Solid Belt,Alvaro Castagnino,Rs. 999,Rs. 289,34:36:38:40:42:44,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/belts/alvaro-castagnino/alvaro-castagnino-men-brown-solid-belt/7620936/buy
Myntra,Home:Accessories:Men Accessories:Belts:Alvaro Castagnino Belts,Alvaro Castagnino Men Blue Solid Belt,Alvaro Castagnino,Rs. 999,Rs. 299,34:36:38:40:42:44,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/belts/alvaro-castagnino/alvaro-castagnino-men-blue-solid-belt/7620965/buy
Myntra,Home:Accessories:Men Accessories:Belts:Pacific Gold Belts,Pacific Gold Men Brown Belt,Pacific Gold,Rs. 999,Rs. 349,32:34:36:38:40:42:44,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/belts/pacific-gold/pacific-gold-men-brown-belt/1232468/buy
Myntra,Home:Accessories:Men Accessories:Belts:Blueberry Belts,Blueberry Men Tan Brown Leather Solid Belt,Blueberry,Rs. 1299,Rs. 389,Onesize,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/belts/blueberry/blueberry-men-tan-brown-leather-solid-belt/5527122/buy
Myntra,Home:Footwear:Men Footwear:Formal Shoes:Mactree Formal Shoes,Mactree Men Tan Brown Formal Brogue Shoes,Mactree,Rs. 1999,Rs. 599,6:7:8:9:10,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/formal-shoes/mactree/mactree-men-tan-brown-formal-brogue-shoes/2197134/buy
Myntra,Home:Footwear:Men Footwear:Formal Shoes:Fentacia Formal Shoes,Fentacia Men Black Formal Leather Slip-Ons,Fentacia,Rs. 999,Rs. 499,6:7:8:9:10,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/formal-shoes/fentacia/fentacia-men-black-formal-leather-slip-ons/7563288/buy
Myntra,Home:Footwear:Men Footwear:Formal Shoes:Action Formal Shoes,Action Men Black Formal Slip-On Shoes,Action,Rs. 599,Rs. 359,6:7:8:9:10:11,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/formal-shoes/action/action-men-black-formal-slip-on-shoes/6685654/buy
Myntra,Home:Footwear:Men Footwear:Formal Shoes:Ferraiolo Formal Shoes,Ferraiolo Men Brown Formal Shoes,Ferraiolo,Rs. 999,Rs. 399,6:7:8:9:10,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/formal-shoes/ferraiolo/ferraiolo-men-brown-formal-shoes/7645008/buy
Myntra,Home:Footwear:Men Footwear:Casual Shoes:LOCOMOTIVE Casual Shoes,LOCOMOTIVE Men Grey Slip-On Sneakers,LOCOMOTIVE,Rs. 1249,Rs. 312,6:7:8:9:10:11,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/casual-shoes/locomotive/locomotive-men-grey-slip-on-sneakers/6804408/buy
Myntra,Home:Footwear:Men Footwear:Casual Shoes:LOCOMOTIVE Casual Shoes,LOCOMOTIVE Men Black Sneakers,LOCOMOTIVE,Rs. 1349,Rs. 337,6:7:8:9:10:11,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/casual-shoes/locomotive/locomotive-men-black-sneakers/6804405/buy
Myntra,Home:Footwear:Men Footwear:Casual Shoes:ASIAN Casual Shoes,ASIAN Men Black Woven Design Canvas Mid-Top Sneakers,ASIAN,Rs. 599,Rs. 359,6:7:8:9:10,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/casual-shoes/asian/asian-men-black-woven-design-canvas-mid-top-sneakers/8079741/buy
Myntra,Home:Footwear:Men Footwear:Casual Shoes:LOCOMOTIVE Casual Shoes,LOCOMOTIVE Men Tan Brown Sneakers,LOCOMOTIVE,Rs. 1949,Rs. 487,6:7:8:9:10:11,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/casual-shoes/locomotive/locomotive-men-tan-brown-sneakers/7562070/buy
Myntra,Home:Accessories:Unisex Accessories:Messenger Bag:Roadster Messenger Bag,Roadster Unisex Black Solid Messenger Bag,Roadster,Rs. 1399,Rs. 419,Onesize,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/messenger-bag/roadster/roadster-unisex-black-solid-messenger-bag/4373248/buy
Myntra,Home:Accessories:Unisex Accessories:Messenger Bag:Roadster Messenger Bag,Roadster Unisex Black Solid Messenger Bag,Roadster,Rs. 1399,Rs. 419,Onesize,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/messenger-bag/roadster/roadster-unisex-black-solid-messenger-bag/4373248/buy
