category,main class,item name,price info,price,monthly sales,item url,item picture
Watches,MenWatches,Jam Tangan Q&Q Jelly Angka Rubber Transparant Transparan bening Karet jam tangan murah // QQ QQ001,Rp12000 - Rp12800,12400,50363,https://shopee.co.id/Jam-Tangan-Q-Q-Jelly-Angka-Rubber-Transparant-Transparan-bening-Karet-jam-tangan-murah-QQ-QQ001-i.3720074.937914384,https://cf.shopee.co.id/file/93ddf26de1c5e258fe74e1db74ef48a7
Watches,MenWatches,READY 6 WARNA ANTI AIR RUBBER JAM TANGAN PRIA MURAH CASIO G-SHOCK GSHOCK DUAL-TIME GWG-1000 GK002,Rp68500,68500,7362,https://shopee.co.id/READY-6-WARNA-ANTI-AIR-RUBBER-JAM-TANGAN-PRIA-MURAH-CASIO-G-SHOCK-GSHOCK-DUAL-TIME-GWG-1000-GK002-i.3720074.18298860,https://cf.shopee.co.id/file/c6cf4b7d0936501e116fb4bcb374767e
Watches,MenWatches,ELBER J138 JAM TANGAN LED DIGITAL FASHION KISD & TEENAGER (REMAJA) DISPLAY WATCH ELEKTRONIK IMPORT,Rp8798,8798,5498,https://shopee.co.id/ELBER-J138-JAM-TANGAN-LED-DIGITAL-FASHION-KISD-TEENAGER-(REMAJA)-DISPLAY-WATCH-ELEKTRONIK-IMPORT-i.6358511.1759406125,https://cf.shopee.co.id/file/1fedc0ee8800ce065a7e2599e245e3e4
Watches,MenWatches,Jam Tangan Pria G-Shock GWG 1000 Gshock Digital Double Time Rubber,Rp68000,68000,3687,https://shopee.co.id/Jam-Tangan-Pria-G-Shock-GWG-1000-Gshock-Digital-Double-Time-Rubber-i.7662138.180538538,https://cf.shopee.co.id/file/ff877b8677c8ba30ba1d013fd57f1e52
Watches,MenWatches,Q&Q 01 Jam Tangan Jelly Angka Rubber Transparant Transparan Bening Karet Watch,Rp11500,11500,4083,https://shopee.co.id/Q-Q-01-Jam-Tangan-Jelly-Angka-Rubber-Transparant-Transparan-Bening-Karet-Watch-i.12495508.1803234962,https://cf.shopee.co.id/file/96ace6a125e5b411a70792cf1a207ea4
Watches,MenWatches,JAM TANGAN SWATCH RUBBER ANGKA JAM TANGAN MURAH PRIA WANITA SW001,Rp19000,19000,2941,https://shopee.co.id/JAM-TANGAN-SWATCH-RUBBER-ANGKA-JAM-TANGAN-MURAH-PRIA-WANITA-SW001-i.3720074.1189844661,https://cf.shopee.co.id/file/6e5dbf362939f18dda16c8eec34f67d7
Watches,MenWatches,PROMO!!! Jam Tangan Q&Q Angka Rubber Transparant Transparan Bening Karet Murah QQ Best Seller,Rp12000,12000,3405,https://shopee.co.id/PROMO!!!-Jam-Tangan-Q-Q-Angka-Rubber-Transparant-Transparan-Bening-Karet-Murah-QQ-Best-Seller-i.7662138.1904953462,https://cf.shopee.co.id/file/0a907947f199052cfe24c5d1983214b6
Watches,MenWatches,PROMO 12.12 G shock Gwg 1000 Jam Tangan Pria,Rp64000 - Rp64064,64032,2750,https://shopee.co.id/PROMO-12.12-G-shock-Gwg-1000-Jam-Tangan-Pria-i.17800584.171827469,https://cf.shopee.co.id/file/be58e722dbf1c9303f5203cef234685a
Watches,MenWatches,FYG J-102 JAM TANGAN Fashion Kanvas,Rp18610,18610,2612,https://shopee.co.id/FYG-J-102-JAM-TANGAN-Fashion-Kanvas-i.11184349.845411998,https://cf.shopee.co.id/file/c7960107a80d067cdfbd73bf4fb3b358
Watches,MenWatches,? INDOLAND ? READY STOCK JAM TANGAN LED DIGITAL IMPOR MURAH,Rp6300,6300,2914,https://shopee.co.id/?-INDOLAND-?-READY-STOCK-JAM-TANGAN-LED-DIGITAL-IMPOR-MURAH-i.36604406.1455237224,https://cf.shopee.co.id/file/054bae95f343151d303d5d52a65e221a
Watches,MenWatches,Jam Tangan Pria Korek Elektrik USB Hadiah Api Rokok Cigarrete Lighter Watch Jam Tangan Analog,Rp67000,67000,4473,https://shopee.co.id/Jam-Tangan-Pria-Korek-Elektrik-USB-Hadiah-Api-Rokok-Cigarrete-Lighter-Watch-Jam-Tangan-Analog-i.29758610.1168242667,https://cf.shopee.co.id/file/17e133d081ce097d8a0524e165ba35a0
Watches,MenWatches,? TK ? JAM TANGAN LED COUPLE DIGITAL PRIA WANITA LAYAR GEDE IMPORT MURAH FASHION BATAM,Rp8798,8798,2462,https://shopee.co.id/?-TK-?-JAM-TANGAN-LED-COUPLE-DIGITAL-PRIA-WANITA-LAYAR-GEDE-IMPORT-MURAH-FASHION-BATAM-i.87389524.1579804402,https://cf.shopee.co.id/file/04a0ccc6fb3c12948a4bf83fd1ebd5b7
Watches,MenWatches,Lumin LD1 LED Jam Tangan Analog Digital Watch,Rp13000,13000,2472,https://shopee.co.id/Lumin-LD1-LED-Jam-Tangan-Analog-Digital-Watch-i.12495508.1169395425,https://cf.shopee.co.id/file/914f1978400eb647bd73609c3be1c441
Watches,MenWatches,ANTI AIR BEST SELLER - JAM G-SHOCK DUAL TIME GWG / Jam Tangan Pria G-Shock 2 Time,Rp60200 - Rp65000,62600,1999,https://shopee.co.id/ANTI-AIR-BEST-SELLER-JAM-G-SHOCK-DUAL-TIME-GWG-Jam-Tangan-Pria-G-Shock-2-Time-i.7942015.111271999,https://cf.shopee.co.id/file/0cdd5e8ce0bea8621a0616f3c19debc1
Watches,MenWatches,FREE BOX & BATERAI CADANGAN JAM TANGAN APPLE WATCH IPHONE RUBBER HITAM TOUCH SCREEN CASE WARNA AP015,Rp28000,28000,1951,https://shopee.co.id/FREE-BOX-BATERAI-CADANGAN-JAM-TANGAN-APPLE-WATCH-IPHONE-RUBBER-HITAM-TOUCH-SCREEN-CASE-WARNA-AP015-i.3720074.1400948547,https://cf.shopee.co.id/file/d1513643f90af65d8c8f4ad73024fc45
Watches,MenWatches,Lumin LD2 Jam Tangan LED Sport Wrist Band TERMASUK KOTAK watch,Rp7700,7700,2455,https://shopee.co.id/Lumin-LD2-Jam-Tangan-LED-Sport-Wrist-Band-TERMASUK-KOTAK-watch-i.12495508.1444832387,https://cf.shopee.co.id/file/31d798cf9cb3afd50b15953af092ee8b
Watches,MenWatches,Jam tangan G-SHOCK sporty GWG1000,Rp150000,150000,1981,https://shopee.co.id/Jam-tangan-G-SHOCK-sporty-GWG1000-i.73561981.1387450316,https://cf.shopee.co.id/file/815596b4254b91a55d81b2edf7610b13
Watches,MenWatches,Jam Tangan Pria G Shock GG Digital,Rp65000,65000,1755,https://shopee.co.id/Jam-Tangan-Pria-G-Shock-GG-Digital-i.17800584.1804896952,https://cf.shopee.co.id/file/7631fdb5d2e3f5271b066a48d5027655
Watches,MenWatches,【Bayar di Tempat 】Fashion Pria: EGY Jam Tangan LED Mewah Anti Air untuk Pelajar/Hadiah,Rp13000,13000,1724,https://shopee.co.id/【Bayar-di-Tempat-】Fashion-Pria-EGY-Jam-Tangan-LED-Mewah-Anti-Air-untuk-Pelajar-Hadiah-i.27636663.406124016,https://cf.shopee.co.id/file/10fc15e9d4f7e358dee34578d36474a9
Watches,MenWatches,Batere Jam Tangan,Rp750,750,1668,https://shopee.co.id/Batere-Jam-Tangan-i.90309109.1620332891,https://cf.shopee.co.id/file/2a7c8537938041ea557aa2d2ec1c24a1
Watches,MenWatches,Geneva 268 J-102 JAM TANGAN Fashion Kanvas Geneva - TANPA KOTAK watch,Rp17500,17500,2114,https://shopee.co.id/Geneva-268-J-102-JAM-TANGAN-Fashion-Kanvas-Geneva-TANPA-KOTAK-watch-i.12495508.1444702623,https://cf.shopee.co.id/file/4a938b9c64a7eef11bc347fa5ead76bb
Watches,WomenWatches,TERBARU ! Jam Tangan Q&Q termurah Rubber Angka Rubber candy Karet jam tangan unisex murah QQ VP46,Rp14500,14500,16294,https://shopee.co.id/TERBARU-!-Jam-Tangan-Q-Q-termurah-Rubber-Angka-Rubber-candy-Karet-jam-tangan-unisex-murah-QQ-VP46-i.3720074.988591528,https://cf.shopee.co.id/file/608c4e127262d62da599b915c8885583
Watches,WomenWatches,[ READY 5 WARNA ] JAM TANGAN MURAH DIOR MAGNET PLAT DIAMOND GLITTER PREMIUM // DR008,Rp48000,48000,14487,https://shopee.co.id/-READY-5-WARNA-JAM-TANGAN-MURAH-DIOR-MAGNET-PLAT-DIAMOND-GLITTER-PREMIUM-DR008-i.3720074.1587892462,https://cf.shopee.co.id/file/bf0e84fc74abf70fed7c9bde0a77050a
Watches,WomenWatches,Jam Tangan Q&Q Jelly Terlaris,Rp11400,11400,19382,https://shopee.co.id/Jam-Tangan-Q-Q-Jelly-Terlaris-i.17800584.1804870627,https://cf.shopee.co.id/file/80ee82a202343cf5a8be06cbfebd21d8
Watches,WomenWatches,FYG J-100 Jam Tangan Geneva Leather Quartz Jam Tangan Fashion Wanita Jam Tangan Kulit Analog Cewek,Rp9731,9731,16010,https://shopee.co.id/FYG-J-100-Jam-Tangan-Geneva-Leather-Quartz-Jam-Tangan-Fashion-Wanita-Jam-Tangan-Kulit-Analog-Cewek-i.11184349.829122351,https://cf.shopee.co.id/file/cd5b7036752ce754a8f7e9d0452b01bf
Watches,WomenWatches,Jam Tangan Geneva Leather Quartz Fashion Wanita Kulit,Rp10300,10300,23527,https://shopee.co.id/Jam-Tangan-Geneva-Leather-Quartz-Fashion-Wanita-Kulit-i.6929530.1700350684,https://cf.shopee.co.id/file/6493662513a4d19ab0a1eef31c1332f6
Watches,WomenWatches,FYGALERY J-189 JAM TANGAN TRANSPARAN MEREK FYGALERY JAM FASHION,Rp11000,11000,13241,https://shopee.co.id/FYGALERY-J-189-JAM-TANGAN-TRANSPARAN-MEREK-FYGALERY-JAM-FASHION-i.11184349.1359155226,https://cf.shopee.co.id/file/1de073011687c7a7a2b02b6860775e1c
Watches,WomenWatches,FYGALERY J138 JAM TANGAN DIGITAL LED DISPLAY WATCH ELEKTRONIK DIGITAL FASHION KISD&TEENAGER(REMAJA),Rp8798,8798,12320,https://shopee.co.id/FYGALERY-J138-JAM-TANGAN-DIGITAL-LED-DISPLAY-WATCH-ELEKTRONIK-DIGITAL-FASHION-KISD-TEENAGER(REMAJA)-i.11184349.1759365877,https://cf.shopee.co.id/file/b8b76135dd83b4d3908932f9609b1c2d
Watches,WomenWatches,Cognos (1KG = 50 pcs) Geneva 263 Jam Tangan Wanita - TANPA KOTAK - Fashion Casual Lady Wrist Watch,Rp11200,11200,16995,https://shopee.co.id/Cognos-(1KG-50-pcs)-Geneva-263-Jam-Tangan-Wanita-TANPA-KOTAK-Fashion-Casual-Lady-Wrist-Watch-i.12495508.695782024,https://cf.shopee.co.id/file/6098bdc92e1ef6e984ecbda6f6d08218
Watches,WomenWatches,JAM TANGAN WANITA DIOR RANTAI,Rp19000,19000,13009,https://shopee.co.id/JAM-TANGAN-WANITA-DIOR-RANTAI-i.48192599.1658074053,https://cf.shopee.co.id/file/d43f4452ec92ef953343961cd87dc04c
Watches,WomenWatches,Jam tangan Ruber Q&Q original JELLY angka Transparan Jam tangan murah Original,Rp12500,12500,12137,https://shopee.co.id/Jam-tangan-Ruber-Q-Q-original-JELLY-angka-Transparan-Jam-tangan-murah-Original-i.77894528.1338712712,https://cf.shopee.co.id/file/dc8900b16d75615afe420c834490672a
Watches,WomenWatches,Jam Tangan Q&Q RUBER ORIGINAL jam tangan qnq anti air,Rp10500 - Rp14500,12500,11832,https://shopee.co.id/Jam-Tangan-Q-Q-RUBER-ORIGINAL-jam-tangan-qnq-anti-air-i.77894528.1436843137,https://cf.shopee.co.id/file/91d5775bdf380a9150e29188969779ad
Watches,WomenWatches,[ READY 7 WARNA ] JAM TANGAN WANITA MURAH PREMIUM RANTAI GUCCI MAGNET PASIR PLAT GLITTER // GU013,Rp46000 - Rp58000,52000,9481,https://shopee.co.id/-READY-7-WARNA-JAM-TANGAN-WANITA-MURAH-PREMIUM-RANTAI-GUCCI-MAGNET-PASIR-PLAT-GLITTER-GU013-i.3720074.1508108104,https://cf.shopee.co.id/file/87a2630ae8f02f4a0a5509128b8c10ac
Watches,WomenWatches,jam Tangan Q&Q JELLY Angka Transparant Transparan jam tangan murah,Rp12400,12400,9788,https://shopee.co.id/jam-Tangan-Q-Q-JELLY-Angka-Transparant-Transparan-jam-tangan-murah-i.7942015.1341137906,https://cf.shopee.co.id/file/b7e5f12811760d9d1b0cba065d78c840
Watches,WomenWatches,Jam Tangan Q&Q Rubber Karet Termurah,Rp12000 - Rp14800,13400,7370,https://shopee.co.id/Jam-Tangan-Q-Q-Rubber-Karet-Termurah-i.17800584.1804850526,https://cf.shopee.co.id/file/83b3f2b9d08559c277fd79f910334aa3
Watches,WomenWatches,ELBER J-189 JAM TANGAN TRANSPARAN MERK FYGALERY JAM FASHION WANITA,Rp11000,11000,6899,https://shopee.co.id/ELBER-J-189-JAM-TANGAN-TRANSPARAN-MERK-FYGALERY-JAM-FASHION-WANITA-i.6358511.1359176454,https://cf.shopee.co.id/file/1de073011687c7a7a2b02b6860775e1c
Watches,WomenWatches,NEW !! [ READY 10 WARNA ] JAM TANGAN MURAH Q&Q VR19 QNQ TERMURAH // QQ010,Rp18500,18500,5994,https://shopee.co.id/NEW-!!-READY-10-WARNA-JAM-TANGAN-MURAH-Q-Q-VR19-QNQ-TERMURAH-QQ010-i.3720074.1814954581,https://cf.shopee.co.id/file/2aea6b780fbfec457e8e6973bac37c2c
Watches,WomenWatches,ELBER GENEVA J-100 Jam Tangan Geneva Leather Quartz Jam Tangan Fashion Wanita Kulit Wanita,Rp9731,9731,6172,https://shopee.co.id/ELBER-GENEVA-J-100-Jam-Tangan-Geneva-Leather-Quartz-Jam-Tangan-Fashion-Wanita-Kulit-Wanita-i.6358511.829093347,https://cf.shopee.co.id/file/5a0cee9726a848defa1f524062ba8c5c
Watches,WomenWatches,Jam Tangan Wanita Gucci Magnet Tanggal Rantai,Rp45900 - Rp57500,51700,5264,https://shopee.co.id/Jam-Tangan-Wanita-Gucci-Magnet-Tanggal-Rantai-i.7662138.1518909682,https://cf.shopee.co.id/file/988f123792f35a2384ebf4c41a59edf6
Watches,WomenWatches,Jam Tangan Dior Kaca Belimbing RANTAI,Rp22800,22800,4450,https://shopee.co.id/Jam-Tangan-Dior-Kaca-Belimbing-RANTAI-i.17800584.1826060122,https://cf.shopee.co.id/file/d8cac6a1e51220670c0261984d9bb632
Watches,WomenWatches,READY LAGI 10 WARNA !! JAM TANGAN DIOR KULIT KACA BELIMBING JAM TANGAN MURAH // DR001,Rp26000,26000,4323,https://shopee.co.id/READY-LAGI-10-WARNA-!!-JAM-TANGAN-DIOR-KULIT-KACA-BELIMBING-JAM-TANGAN-MURAH-DR001-i.3720074.1231413025,https://cf.shopee.co.id/file/5c311d3d499008c022397c6b26be072b
Watches,WomenWatches,FYGALERY J-192 JAM TANGAN FASHION WANITA ELLIETH JAM TANGAN IMPORT JAM TANGAN CANTIK,Rp18500,18500,3999,https://shopee.co.id/FYGALERY-J-192-JAM-TANGAN-FASHION-WANITA-ELLIETH-JAM-TANGAN-IMPORT-JAM-TANGAN-CANTIK-i.11184349.1349336242,https://cf.shopee.co.id/file/f429a78abce4a80ff819f3ac379c0172
Watches,WomenWatches,(Dikirim dari Jakarta) BISA COD BAYAR DITEMPAT Jam Tangan Wanita Geneva Strap Kulit Romawi GI-15,Rp12800,12800,3901,https://shopee.co.id/(Dikirim-dari-Jakarta)-BISA-COD-BAYAR-DITEMPAT-Jam-Tangan-Wanita-Geneva-Strap-Kulit-Romawi-GI-15-i.67736377.1120753465,https://cf.shopee.co.id/file/49d0ac07985a4ade6299eab46d83ac98
Watches,WomenWatches,OSM - J028 (Free 1 Battery) Jam Tangan Geneva / Analog Quartz / Jam Tangan Cewek / Watch / Arloji,Rp10150,10150,4290,https://shopee.co.id/OSM-J028-(Free-1-Battery)-Jam-Tangan-Geneva-Analog-Quartz-Jam-Tangan-Cewek-Watch-Arloji-i.26616655.1209269163,https://cf.shopee.co.id/file/a6bb604ce602470aa562ddc34adad025
Watches,WomenWatches,jam Tangan Q&Q JELLY Angka Transparant Transparan jam tangan murah.,Rp12400,12400,4436,https://shopee.co.id/jam-Tangan-Q-Q-JELLY-Angka-Transparant-Transparan-jam-tangan-murah.-i.9975365.1377843734,https://cf.shopee.co.id/file/59679d8eefce03c923bc10b6292a793c
Watches,WomenWatches,LED Watch ORIGINAL - Jam Tangan Digital Pria dan Wanita - Strap Rubber ( Group ),Rp24900,24900,3909,https://shopee.co.id/LED-Watch-ORIGINAL-Jam-Tangan-Digital-Pria-dan-Wanita-Strap-Rubber-(-Group-)-i.34754177.797373590,https://cf.shopee.co.id/file/16dbb35062cf4442a8660f5d8d90a453
Watches,WomenWatches,FREE ONGKIR !! Jam Tangan Tali Gelang Tribal Vintage Etnik /Jam etnik /Jam tribal TERMURAH SHOPEE,Rp15000,15000,3443,https://shopee.co.id/FREE-ONGKIR-!!-Jam-Tangan-Tali-Gelang-Tribal-Vintage-Etnik-Jam-etnik-Jam-tribal-TERMURAH-SHOPEE-i.3720074.937969818,https://cf.shopee.co.id/file/93b4cf1ef101f0fcfa283c08c7e18e67
Watches,WomenWatches,Jam tangan wanita Q&Q karet termurah,Rp13400 - Rp13440,13420,3647,https://shopee.co.id/Jam-tangan-wanita-Q-Q-karet-termurah-i.7942015.1437295063,https://cf.shopee.co.id/file/2e30245880df91640f09803b4a6ed822
Watches,WomenWatches,? DIKIRIM DR JKT ? JAM TANGAN GENEVA WANITA / watch / murah / fashion,Rp12000,12000,3961,https://shopee.co.id/?-DIKIRIM-DR-JKT-?-JAM-TANGAN-GENEVA-WANITA-watch-murah-fashion-i.9158190.794566993,https://cf.shopee.co.id/file/f67094fcd8c9400a6f6fdcbcf0542ae0
Watches,WomenWatches,(Dikirim Dari Jakarta) J-100 Jam Tangan Wanita Geneva Strap Kulit Romawi Fashion Murah,Rp12700,12700,3312,https://shopee.co.id/(Dikirim-Dari-Jakarta)-J-100-Jam-Tangan-Wanita-Geneva-Strap-Kulit-Romawi-Fashion-Murah-i.90309109.1609636640,https://cf.shopee.co.id/file/0df43ef311bc6dc0f99c1e832397d298
Watches,WomenWatches,[ READY 5 WARNA ] JAM TANGAN FASHION MURAH WANITA GUCCI POLOS KULIT // GU020,Rp27500,27500,3166,https://shopee.co.id/-READY-5-WARNA-JAM-TANGAN-FASHION-MURAH-WANITA-GUCCI-POLOS-KULIT-GU020-i.3720074.1701131328,https://cf.shopee.co.id/file/f6d634d1b9c5e960a71ce613ef0a917d
Watches,WomenWatches,Jam Tangan Q&Q Jelly Angka Rubber Transparant Transparan Karet jam tangan murah,Rp12000,12000,3852,https://shopee.co.id/Jam-Tangan-Q-Q-Jelly-Angka-Rubber-Transparant-Transparan-Karet-jam-tangan-murah-i.75841895.1602699986,https://cf.shopee.co.id/file/7e2df2fd35f8e953b47777c2f48d6cee
Watches,WomenWatches,BATERAI JAM TANGAN 1 PCS 1000 PERAK,Rp990,990,3155,https://shopee.co.id/BATERAI-JAM-TANGAN-1-PCS-1000-PERAK-i.17800584.1341734733,https://cf.shopee.co.id/file/68f6379872aff4247e430008ba16f3f1
