,Unnamed: 0,名字,投票人数,类型,产地,上映时间,时长,年代,评分,首映地点
15597,15597,老爸夏令营,721.0,喜剧,美国,2007-08-08 00:00:00,89,2007,6.1,美国
15598,15598,老板,619.0,喜剧,美国,2016-04-08 00:00:00,99,2016,5.4,美国
15599,15599,橡树，十万火急 ,110.0,战争,其他,1973年,60,1973,6.9,美国
15600,15600,老板的女人,136.0,剧情,中国,2013-04-25 00:00:00,19,2013,5.4,中国
15601,15601,老板渡假去,318.0,喜剧,美国,1989-07-05 00:00:00,97,1989,7.2,美国
15602,15602,老板杀,40.0,惊悚,美国,2013-07-07 00:00:00,88,2013,3.8,美国
15603,15603,老北京的叙说,89.0,纪录片,中国,1984-06-06 00:00:00,67,1984,8.4,美国
15604,15604,老表，你好嘢！,221.0,喜剧,中国,1991-09-14 00:00:00,93,1991,6.7,美国
15605,15605,老表三贱客,1438.0,喜剧,西班牙,2011-02-04 00:00:00,98,2011,7.4,西班牙
15606,15606,笑笑笑,110.0,喜剧,中国,1960-03-25 00:00:00,60,1960,7.7,美国
15607,15607,宇宙,110.0,动画,法国,2002-06-24 00:00:00,60,2002,5.1,美国
15608,15608,老兵新传,56.0,剧情,中国,1959-05-12 00:00:00,128,1959,6.8,美国
15609,15609,老处女,33.0,剧情,美国,1939-09-02 00:00:00,95,1939,7.6,美国
15610,15610,老大靠边闪,4119.0,喜剧,美国,1999-03-05 00:00:00,103,1999,7.3,美国
15611,15611,老大靠边闪,1840.0,喜剧,美国,2002-12-06 00:00:00,96,2002,6.7,美国
15612,15612,老地方,88.0,纪录片,法国,2000-04-19 00:00:00,49,2000,8.7,美国
15613,15613,老店,426.0,剧情,中国,1990-06-12 00:00:00,136,1990,7.7,美国
15614,15614,老掉牙,507.0,剧情,其他,2009-07-01 00:00:00,11,2009,7.8,美国
15615,15615,老斗士,302.0,剧情,中国,2013-10-10 00:00:00,13,2013,5.8,美国
15616,15616,狂野小子,110.0,家庭,德国,2003-10-02 00:00:00,60,2003,7.7,美国
15617,15617,老房故事,70.0,动画,中国,2012-10-01 00:00:00,11,2012,6.6,中国
15618,15618,老夫子,134.0,喜剧,中国,1976-10-02 00:00:00,86,1976,6.2,美国
15619,15619,老夫子 七彩卡通老夫,363.0,剧情,中国,1981-12-13 00:00:00,80,1981,8.1,美国
15620,15620,海滩,16529.0,剧情,美国,2000-02-11 00:00:00,119,2000,7.6,美国
